Depth,Min_child_weight,auc_max,std,best_round
3,0.5,0.841278333333333,0.00772866666666667,824.333333333333
3,1,0.842192666666667,0.00826633333333333,895.333333333333
3,2,0.841744333333333,0.0126626666666667,829.666666666667
3,3,0.840972666666667,0.00937566666666667,711
3,4,0.841146,0.00763533333333333,897
4,0.5,0.842733,0.012547,701
4,1,0.842356,0.006223,759
4,2,0.841809,0.010932,671
4,3,0.842128333333333,0.007131,611.333333333333
4,4,0.841975666666667,0.008597,625
5,0.5,0.841810333333333,0.010813,408
5,1,0.842824333333333,0.00981166666666667,460.8
5,2,0.843288666666667,0.015183,530.333333333333
5,3,0.842436,0.010964,465.333333333333
5,4,0.843043666666667,0.0103726666666667,512.5
6,0.5,0.842661666666667,0.0100463333333333,413
6,1,0.842110333333333,0.0172063333333333,332.5
6,2,0.841708666666667,0.00981266666666667,359.666666666667
6,3,0.841572666666667,0.00931733333333333,431
6,4,0.842137666666667,0.00973633333333333,377.25
