gamma,auc_max,std,best_round
0,0.839967666666667,0.00798133333333333,82.6666666666667
0.1,0.838654666666667,0.012788,100
0.2,0.840110666666667,0.0138903333333333,79.3333333333333
0.3,0.839804666666667,0.0114676666666667,115.666666666667
0.4,0.840886,0.012775,119
0.5,0.839569333333333,0.0119256666666667,67
0.6,0.839465666666667,0.0153663333333333,83.3333333333333
0.7,0.840542666666667,0.00951533333333333,95.3333333333333
0.8,0.839959333333333,0.0109323333333333,124.666666666667
0.9,0.839728666666667,0.0117173333333333,104.333333333333
1,0.840241333333333,0.0143093333333333,132
