Depth,Min_child_weight,auc_max,std,best_round
3,0.5,0.839546,0.00993233333333333,155.666666666667
3,1,0.839624666666667,0.00848833333333333,168
3,2,0.839649333333333,0.008007,121
3,3,0.838924666666667,0.0152576666666667,132.333333333333
3,4,0.840067333333333,0.00876166666666667,132.333333333333
4,0.5,0.840401,0.00714233333333333,130
4,1,0.841010333333333,0.00816233333333333,115.666666666667
4,2,0.840760333333333,0.009263,94.6666666666667
4,3,0.840141666666667,0.010453,95
4,4,0.840834,0.00859566666666667,98
5,0.5,0.839959,0.00813033333333333,79.3333333333333
5,1,0.840282,0.006851,66.6666666666667
5,2,0.840907,0.00592033333333333,71.6666666666667
5,3,0.839900666666667,0.00825466666666667,89.3333333333333
5,4,0.840782,0.0162573333333333,75
6,0.5,0.840026333333333,0.0101746666666667,73
6,1,0.839365666666667,0.0134513333333333,63.6666666666667
6,2,0.839773,0.013637,60.3333333333333
6,3,0.840035333333333,0.011145,74
6,4,0.839952,0.0111743333333333,70.3333333333333
