eta,auc_max,std,best_round
0.01,0.840954333333333,0.0151423333333333,1032
0.012,0.841096333333333,0.00655566666666667,695.6
0.014,0.840696,0.00970466666666667,694
0.016,0.840486666666667,0.0114556666666667,527.333333333333
0.018,0.841897,0.00960533333333333,532.666666666667
0.02,0.841346333333333,0.0105293333333333,463
0.022,0.841222,0.008311,454
0.024,0.841035666666667,0.004714,352.666666666667
