"aucMean","aucStd","bestRound"
0.8412292,0.0014384,769.2
0.8417562,0.0097952,790
0.8417334,0.0082404,848.2
0.8398054,0.004608,724
0.8414726,0.0090678,661
0.8404482,0.0065836,757
0.8399924,0.0107796,594.333333333333
0.8410662,0.0053758,750
0.8412494,0.0078016,577.2
0.8413458,0.0109092,647
0.840239,0.0038424,601.2
0.841617,0.0046392,760.833333333333
0.8410022,0.010325,755.166666666667
0.840861,0.009449,703
0.8411288,0.0062562,776.6
0.8410854,0.0039346,732.8
0.8411078,0.0013666,738
0.841128,0.0054176,747.6
0.8403798,0.0058522,752.8
0.8397844,0.0063498,727.6
0.8405354,0.0093078,684.4
0.8406386,0.0037726,659
0.8408714,0.0055232,765
0.840299,0.0032326,732
0.8395378,0.0124248,657
0.83995,0.00704,663.857142857143
0.8414444,0.0113852,623.166666666667
0.8414378,0.0098926,797
0.84055,0.003736,694.6
0.8404588,0.0065064,655
0.8410586,0.0070512,640.4
0.839597,0.0059406,726
0.8404978,0.013127,781
0.8410888,0.0073806,688.4
0.8405218,0.0028332,675.2
0.8405332,0.003279,780.4
0.8411632,0.0113394,689.666666666667
0.8411984,0.0014838,723.6
0.8402418,0.0035878,589
0.8411512,0.0046724,635.857142857143
0.8409174,0.0057824,672.833333333333
0.8411162,0.0021552,767
0.8400138,0.003731,621
0.841488,0.0062342,675.4
0.8417014,0.0053796,711.8
0.840796,0.0081842,672.4
0.8407776,0.0058366,761.8
0.8419344,0.0033892,826
0.8415948,0.0075664,654.4
0.8400854,0.0073152,620.2
