"aucMean","aucStd","bestRound"
0.8397992,0.0068434,698
0.8412724,0.0044774,678.8
0.8401478,0.009019,822.166666666667
0.8415448,0.0066988,791.4
0.8396428,0.0080074,697.2
0.8394744,0.0080766,651.571428571429
0.842465,0.0088162,801.4
0.839889,0.0055252,652
0.84096,0.0079498,771
0.840242,0.010086,699
0.8406586,0.0098354,756
0.840808,0.007116,620.4
0.8414538,0.0052372,828
0.8408366,0.0056344,753.8
0.8402006,0.008788,656.2
0.8414438,0.0083902,695.6
0.8408742,0.0081326,698
0.8400232,0.0055648,717.6
0.8399822,0.010274,720.2
0.8400888,0.0090364,771.4
0.839993,0.0032516,698
0.8413292,0.0110694,721.8
0.840512,0.0046922,796.6
0.841436,0.0039688,743.6
0.8401102,0.0057892,710.6
0.8408328,0.0083514,715
0.8391376,0.0023532,598
0.8396774,0.0058308,725
0.8408506,0.0109188,781.8
0.8411158,0.005069,740.666666666667
0.8401268,0.0043242,621.8
0.8410394,0.011386,737.6
0.8395918,0.0049036,679
0.8418404,0.0028308,763.833333333333
0.8412752,0.0064328,808
0.839782,0.0057606,619.4
0.841447,0.0022046,784.2
0.8402824,0.005568,697.6
0.841425,0.008455,648.333333333333
0.8399788,0.0080716,563.8
0.8416392,0.0060258,889.666666666667
0.840494,0.0076946,772
0.8398448,0.0031154,595
0.8402092,0.003012,606.4
0.840097,0.007584,791
0.8399758,0.0056286,734.6
0.8398312,0.0090492,695.5
0.8411366,0.0041534,773.166666666667
0.8416286,0.0036794,779.8
0.841215,0.0031724,666.833333333333
