Depth,Min_child_weight,r_sample,c_sample,eta,scale_pos_weight,gamma,auc_max,std,best_round
4,3,0.5,0.3,0.1,1,0.2,0.83961,0.0114202,84.6
4,3,0.5,0.35,0.1,1,0.2,0.8385274,0.006038,88
4,3,0.5,0.4,0.1,1,0.2,0.8387392,0.0037058,83
4,3,0.5,0.45,0.1,1,0.2,0.8390306,0.0033292,113
4,3,0.5,0.5,0.1,1,0.2,0.8399666,0.0101166,68
4,3,0.5,0.55,0.1,1,0.2,0.8394928,0.0087068,74.4
4,3,0.5,0.6,0.1,1,0.2,0.8384074,0.0104894,94
4,3,0.5,0.65,0.1,1,0.2,0.8397544,0.0063082,82.2
4,3,0.5,0.7,0.1,1,0.2,0.8390798,0.0031382,120
4,3,0.5,0.75,0.1,1,0.2,0.8392096,0.0070352,80
4,3,0.5,0.8,0.1,1,0.2,0.8375528,0.0049002,88.2
4,3,0.55,0.3,0.1,1,0.2,0.839435,0.0056246,87
4,3,0.55,0.35,0.1,1,0.2,0.8401998,0.0068782,120.8
4,3,0.55,0.4,0.1,1,0.2,0.8401016,0.0079928,64.2
4,3,0.55,0.45,0.1,1,0.2,0.8404782,0.0055106,101.4
4,3,0.55,0.5,0.1,1,0.2,0.8400206,0.0068956,81.2
4,3,0.55,0.55,0.1,1,0.2,0.8386234,0.0036316,102
4,3,0.55,0.6,0.1,1,0.2,0.839255,0.0079592,91
4,3,0.55,0.65,0.1,1,0.2,0.8381006,0.0091308,104
4,3,0.55,0.7,0.1,1,0.2,0.8398802,0.0111828,73.4
4,3,0.55,0.75,0.1,1,0.2,0.8389708,0.0042854,94.6
4,3,0.55,0.8,0.1,1,0.2,0.8407952,0.0074398,95.8
4,3,0.6,0.3,0.1,1,0.2,0.8397336,0.0069018,81.8
4,3,0.6,0.35,0.1,1,0.2,0.840292,0.0042502,122.8
4,3,0.6,0.4,0.1,1,0.2,0.8412042,0.0064756,92.6
4,3,0.6,0.45,0.1,1,0.2,0.8396686,0.0134224,98
4,3,0.6,0.5,0.1,1,0.2,0.839597,0.0037148,95.8
4,3,0.6,0.55,0.1,1,0.2,0.839938,0.007008,112
4,3,0.6,0.6,0.1,1,0.2,0.838863,0.0089102,88
4,3,0.6,0.65,0.1,1,0.2,0.8397454,0.0053722,88.8
4,3,0.6,0.7,0.1,1,0.2,0.8388962,0.005076,75.1666666666667
4,3,0.6,0.75,0.1,1,0.2,0.8391238,0.0092616,98.2
4,3,0.6,0.8,0.1,1,0.2,0.8397756,0.0060436,88.8
4,3,0.65,0.3,0.1,1,0.2,0.8394006,0.0092054,94.8
4,3,0.65,0.35,0.1,1,0.2,0.8409678,0.006174,86
4,3,0.65,0.4,0.1,1,0.2,0.839232,0.008736,107.4
4,3,0.65,0.45,0.1,1,0.2,0.8408076,0.004003,83.8
4,3,0.65,0.5,0.1,1,0.2,0.8391862,0.0069482,89
4,3,0.65,0.55,0.1,1,0.2,0.8396302,0.0041116,104.6
4,3,0.65,0.6,0.1,1,0.2,0.8383686,0.0059798,102.4
4,3,0.65,0.65,0.1,1,0.2,0.8399334,0.0073098,83.4
4,3,0.65,0.7,0.1,1,0.2,0.8394856,0.0068072,101.8
4,3,0.65,0.75,0.1,1,0.2,0.8404324,0.006808,93.8
4,3,0.65,0.8,0.1,1,0.2,0.840796,0.011368,108.2
4,3,0.7,0.3,0.1,1,0.2,0.8379328,0.0065808,70.8
4,3,0.7,0.35,0.1,1,0.2,0.8400554,0.0038934,93.2
4,3,0.7,0.4,0.1,1,0.2,0.8397874,0.0024372,104.6
4,3,0.7,0.45,0.1,1,0.2,0.8396642,0.0089636,83.2
4,3,0.7,0.5,0.1,1,0.2,0.8401892,0.0045762,101.4
4,3,0.7,0.55,0.1,1,0.2,0.8404528,0.0048478,101.8
4,3,0.7,0.6,0.1,1,0.2,0.8385158,0.0048894,71.4
4,3,0.7,0.65,0.1,1,0.2,0.8383752,0.0041204,94.4
4,3,0.7,0.7,0.1,1,0.2,0.8393882,0.0030276,87
4,3,0.7,0.75,0.1,1,0.2,0.84009,0.0082314,99.6
4,3,0.7,0.8,0.1,1,0.2,0.8399254,0.005004,81.6
4,3,0.75,0.3,0.1,1,0.2,0.8404282,0.0080252,105.4
4,3,0.75,0.35,0.1,1,0.2,0.8393116,0.0087898,85.6
4,3,0.75,0.4,0.1,1,0.2,0.837541,0.004611,103.2
4,3,0.75,0.45,0.1,1,0.2,0.8392258,0.007,86.2
4,3,0.75,0.5,0.1,1,0.2,0.8386654,0.0048414,110.4
4,3,0.75,0.55,0.1,1,0.2,0.8394912,0.0044736,92
4,3,0.75,0.6,0.1,1,0.2,0.8392188,0.005649,95.6
4,3,0.75,0.65,0.1,1,0.2,0.8402308,0.003648,93.6
4,3,0.75,0.7,0.1,1,0.2,0.8389084,0.0024556,90.2
4,3,0.75,0.75,0.1,1,0.2,0.8387916,0.0063852,79
4,3,0.75,0.8,0.1,1,0.2,0.8387154,0.005329,77.4
4,3,0.8,0.3,0.1,1,0.2,0.8400794,0.0083646,97.8
4,3,0.8,0.35,0.1,1,0.2,0.841197,0.0020442,103
4,3,0.8,0.4,0.1,1,0.2,0.8402376,0.0060566,103
4,3,0.8,0.45,0.1,1,0.2,0.8403498,0.0058032,99.8
4,3,0.8,0.5,0.1,1,0.2,0.839414,0.007287,106.5
4,3,0.8,0.55,0.1,1,0.2,0.8395944,0.0043014,90
4,3,0.8,0.6,0.1,1,0.2,0.838971,0.0023598,98.8
4,3,0.8,0.65,0.1,1,0.2,0.839586,0.0040476,95.8
4,3,0.8,0.7,0.1,1,0.2,0.8411316,0.0083752,91
4,3,0.8,0.75,0.1,1,0.2,0.8379032,0.0086334,82.4
4,3,0.8,0.8,0.1,1,0.2,0.8391644,0.0025676,97.8
