Depth,Min_child_weight,r_sample,c_sample,eta,scale_pos_weight,gamma,auc_max,std,best_round
4,3,0.7,0.7,0.1,1,0,0.83997,0.0044348,102.4
4,3,0.7,0.7,0.1,1,0.1,0.8396262,0.0094718,93.6
4,3,0.7,0.7,0.1,1,0.2,0.840971,0.004436,84.6666666666667
4,3,0.7,0.7,0.1,1,0.3,0.8397502,0.004927,100.4
4,3,0.7,0.7,0.1,1,0.4,0.8393562,0.0029854,78.4
4,3,0.7,0.7,0.1,1,0.5,0.839926,0.0111616,100.4
4,3,0.7,0.7,0.1,1,0.6,0.8400998,0.0042394,98
4,3,0.7,0.7,0.1,1,0.7,0.8392388,0.0055144,79.4
4,3,0.7,0.7,0.1,1,0.8,0.8397086,0.009634,93
4,3,0.7,0.7,0.1,1,0.9,0.8383572,0.002902,95.6
4,3,0.7,0.7,0.1,1,1,0.8398548,0.0043974,85.4
4,3,0.7,0.7,0.1,1,2,0.8390118,0.0079456,95.6
4,3,0.7,0.7,0.1,1,5,0.8396092,0.0065136,83
