Depth,Min_child_weight,r_sample,c_sample,eta,scale_pos_weight,gamma,auc_max,std,best_round
3,0.5,0.7,0.7,0.1,1,0,0.8387074,0.0071614,147
3,1,0.7,0.7,0.1,1,0,0.8391736,0.0050834,134.4
3,2,0.7,0.7,0.1,1,0,0.8379164,0.006204,103
3,3,0.7,0.7,0.1,1,0,0.8388068,0.0054904,154
3,4,0.7,0.7,0.1,1,0,0.8406484,0.0071002,157.4
4,0.5,0.7,0.7,0.1,1,0,0.839127,0.0028094,80
4,1,0.7,0.7,0.1,1,0,0.8386302,0.006761,82.6
4,2,0.7,0.7,0.1,1,0,0.8396858,0.0102128,73.8
4,3,0.7,0.7,0.1,1,0,0.8412468,0.0045092,108.6
4,4,0.7,0.7,0.1,1,0,0.840291,0.0080834,103.4
5,0.5,0.7,0.7,0.1,1,0,0.8398028,0.0099802,76.6
5,1,0.7,0.7,0.1,1,0,0.8391806,0.0036666,91.2
5,2,0.7,0.7,0.1,1,0,0.838557,0.0094188,74.6
5,3,0.7,0.7,0.1,1,0,0.8377092,0.0093226,65.4
5,4,0.7,0.7,0.1,1,0,0.839291,0.0074216,77
6,0.5,0.7,0.7,0.1,1,0,0.839184,0.0014994,80.8
6,1,0.7,0.7,0.1,1,0,0.8392784,0.003371,51
6,2,0.7,0.7,0.1,1,0,0.8385014,0.0076684,49.8
6,3,0.7,0.7,0.1,1,0,0.8390262,0.0057994,59.2
6,4,0.7,0.7,0.1,1,0,0.841137,0.0049636,81.2
