Depth,Min_child_weight,r_sample,c_sample,eta,scale_pos_weight,gamma,auc_max,std,best_round
4,1,0.5,0.3,0.01,1,0.5,0.841022,0.0061064,1046
4,1,0.5,0.35,0.01,1,0.5,0.8413876,0.0068896,932.6
4,1,0.5,0.4,0.01,1,0.5,0.840566,0.0050514,962
4,1,0.5,0.45,0.01,1,0.5,0.8413146,0.0062436,992.8
4,1,0.5,0.5,0.01,1,0.5,0.8420694,0.011377,985.8
4,1,0.5,0.55,0.01,1,0.5,0.8416132,0.0038288,946.6
4,1,0.5,0.6,0.01,1,0.5,0.8410506,0.0085082,956.8
4,1,0.5,0.65,0.01,1,0.5,0.841882,0.011961,1138.5
4,1,0.5,0.7,0.01,1,0.5,0.8410644,0.0061224,907.4
4,1,0.5,0.75,0.01,1,0.5,0.8413592,0.0116832,977.5
4,1,0.5,0.8,0.01,1,0.5,0.8418104,0.0063086,997.125
4,1,0.55,0.3,0.01,1,0.5,0.841151,0.0109012,1079
4,1,0.55,0.35,0.01,1,0.5,0.8420712,0.011246,1003.6
4,1,0.55,0.4,0.01,1,0.5,0.8418502,0.006093,1041.2
4,1,0.55,0.45,0.01,1,0.5,0.8415968,0.0141898,988.6
4,1,0.55,0.5,0.01,1,0.5,0.8406896,0.0064018,941.857142857143
4,1,0.55,0.55,0.01,1,0.5,0.8426924,0.0064814,1221.4
4,1,0.55,0.6,0.01,1,0.5,0.8408178,0.0075624,925.4
4,1,0.55,0.65,0.01,1,0.5,0.8407634,0.0077208,1009.28571428571
4,1,0.55,0.7,0.01,1,0.5,0.8407344,0.0143796,957.6
4,1,0.55,0.75,0.01,1,0.5,0.8404762,0.0048998,999
4,1,0.55,0.8,0.01,1,0.5,0.8414048,0.0044906,905.166666666667
4,1,0.6,0.3,0.01,1,0.5,0.841424,0.0086896,1222
4,1,0.6,0.35,0.01,1,0.5,0.8418558,0.0065224,1085.71428571429
4,1,0.6,0.4,0.01,1,0.5,0.8420618,0.0074508,1126.2
4,1,0.6,0.45,0.01,1,0.5,0.841938,0.0114212,1129.2
4,1,0.6,0.5,0.01,1,0.5,0.8412352,0.0069642,1155.2
4,1,0.6,0.55,0.01,1,0.5,0.8411598,0.0109436,1026
4,1,0.6,0.6,0.01,1,0.5,0.8412794,0.0092332,964.6
4,1,0.6,0.65,0.01,1,0.5,0.8417708,0.0111116,1164.2
4,1,0.6,0.7,0.01,1,0.5,0.841802,0.0112232,947.333333333333
4,1,0.6,0.75,0.01,1,0.5,0.8418504,0.0065336,1119
4,1,0.6,0.8,0.01,1,0.5,0.8412696,0.0058006,1045.2
4,1,0.65,0.3,0.01,1,0.5,0.8412398,0.0100576,1069.375
4,1,0.65,0.35,0.01,1,0.5,0.8412254,0.0029182,1069.8
4,1,0.65,0.4,0.01,1,0.5,0.8413438,0.0082766,1095.4
4,1,0.65,0.45,0.01,1,0.5,0.8420906,0.014921,1009
4,1,0.65,0.5,0.01,1,0.5,0.8408462,0.0090346,1093.16666666667
4,1,0.65,0.55,0.01,1,0.5,0.8420264,0.004216,1200
4,1,0.65,0.6,0.01,1,0.5,0.84114,0.0078432,1019.42857142857
4,1,0.65,0.65,0.01,1,0.5,0.8415526,0.0113122,870
4,1,0.65,0.7,0.01,1,0.5,0.8417844,0.0109576,1126.2
