Depth,Min_child_weight,auc_max,std,best_round
3,0.5,0.838964,0.009046,122.666666666667
3,1,0.838664333333333,0.00984266666666667,127
3,2,0.839238333333333,0.00734133333333333,153
3,3,0.839629333333333,0.00832533333333333,150.666666666667
3,4,0.839701333333333,0.0120716666666667,166.333333333333
4,0.5,0.840154333333333,0.008907,96
4,1,0.839878666666667,0.0102143333333333,103
4,2,0.839906666666667,0.0122953333333333,94
4,3,0.839564333333333,0.0133586666666667,100
4,4,0.839630666666667,0.009967,119
5,0.5,0.841633,0.007648,104
5,1,0.84088,0.00844233333333333,85.6666666666667
5,2,0.839504,0.0154263333333333,75.3333333333333
5,3,0.841312,0.011332,61
5,4,0.840225,0.00767666666666667,73
6,0.5,0.840425666666667,0.013978,62.3333333333333
6,1,0.841215,0.0119993333333333,73
6,2,0.840516666666667,0.0109523333333333,72
6,3,0.839612666666667,0.00937333333333333,74.6666666666667
6,4,0.839394666666667,0.015418,58.6666666666667
