scale_pos_weight,auc_max,std,best_round
0.5,0.841050666666667,0.0118373333333333,76
1,0.841137333333333,0.00888166666666667,61
2,0.841440666666667,0.00931533333333333,58.6666666666667
3,0.838592666666667,0.010567,58.3333333333333
4,0.839682333333333,0.016397,61.6666666666667
