Depth,Min_child_weight,r_sample,c_sample,eta,scale_pos_weight,gamma,auc_max,std,best_round
5,4,0.65,0.6,0.01,4,0.7,0.8417782,0.0064644,735.857142857143
5,4,0.65,0.6,0.012,4,0.7,0.841305,0.006109,491
5,4,0.65,0.6,0.014,4,0.7,0.841119,0.0123478,488
5,4,0.65,0.6,0.016,4,0.7,0.8409768,0.0077312,362.5
5,4,0.65,0.6,0.018,4,0.7,0.8418876,0.0074476,360.4
5,4,0.65,0.6,0.02,4,0.7,0.840168,0.0122678,296.666666666667
5,4,0.65,0.6,0.022,4,0.7,0.841997,0.0085306,288
5,4,0.65,0.6,0.024,4,0.7,0.8394138,0.007074,221.8
