r_sample,c_sample,auc_max,std,best_round
0.5,0.4,0.839200666666667,0.0134993333333333,73.3333333333333
0.5,0.45,0.841727,0.00951433333333333,101
0.5,0.5,0.840693666666667,0.00890933333333333,83
0.5,0.55,0.841205666666667,0.011133,80
0.5,0.6,0.839217666666667,0.00943433333333333,80
0.5,0.65,0.838992666666667,0.0137566666666667,74
0.5,0.7,0.839985,0.0150863333333333,78
0.5,0.75,0.838745333333333,0.007918,82
0.5,0.8,0.840284666666667,0.0119543333333333,74
0.55,0.4,0.840121,0.0105453333333333,75
0.55,0.45,0.840769,0.00776466666666667,105.333333333333
0.55,0.5,0.841416333333333,0.008116,81
0.55,0.55,0.839499,0.012305,77.6666666666667
0.55,0.6,0.840767333333333,0.0112196666666667,85.6666666666667
0.55,0.65,0.840549333333333,0.00805466666666667,70.6666666666667
0.55,0.7,0.839648333333333,0.0105196666666667,90
0.55,0.75,0.839754666666667,0.007026,77.6666666666667
0.55,0.8,0.840551333333333,0.00873633333333333,73.6666666666667
0.6,0.4,0.841577666666667,0.0102796666666667,86.3333333333333
0.6,0.45,0.839795,0.0118073333333333,72.3333333333333
0.6,0.5,0.840368,0.0110906666666667,73.3333333333333
0.6,0.55,0.840859666666667,0.011482,69.5
0.6,0.6,0.840112333333333,0.00777133333333333,81.3333333333333
0.6,0.65,0.840472,0.0170633333333333,112.666666666667
0.6,0.7,0.840635,0.014236,67
0.6,0.75,0.839621666666667,0.00732866666666667,82.6666666666667
0.6,0.8,0.839309,0.009962,77.3333333333333
0.65,0.4,0.840386666666667,0.008819,96
0.65,0.45,0.839853333333333,0.013617,79.3333333333333
0.65,0.5,0.840610333333333,0.0145183333333333,75.6666666666667
0.65,0.55,0.839847333333333,0.0128886666666667,66.6666666666667
0.65,0.6,0.840492333333333,0.0103283333333333,83
0.65,0.65,0.840742,0.0140646666666667,80
0.65,0.7,0.839748,0.008722,92
0.65,0.75,0.840700666666667,0.00808166666666667,71.6666666666667
0.65,0.8,0.840173666666667,0.0126703333333333,75.3333333333333
0.7,0.4,0.841022666666667,0.0107913333333333,72.6666666666667
0.7,0.45,0.840366666666667,0.0119766666666667,79.3333333333333
0.7,0.5,0.841254666666667,0.00863966666666667,75.6666666666667
0.7,0.55,0.841548666666667,0.00977933333333333,80.6666666666667
0.7,0.6,0.842398666666667,0.0196176666666667,90
0.7,0.65,0.840574,0.0123853333333333,81
0.7,0.7,0.840560666666667,0.00980633333333333,67
0.7,0.75,0.840749333333333,0.0106996666666667,74.3333333333333
0.7,0.8,0.840011666666667,0.00561433333333333,86
0.75,0.4,0.840712,0.0108483333333333,94
0.75,0.45,0.840312,0.0117456666666667,90.3333333333333
0.75,0.5,0.840066,0.00789433333333333,77.6666666666667
0.75,0.55,0.840828333333333,0.011572,79
0.75,0.6,0.841109333333333,0.00708533333333333,83.3333333333333
0.75,0.65,0.839282,0.012726,75.3333333333333
0.75,0.7,0.840082333333333,0.0105136666666667,83
0.75,0.75,0.840732333333333,0.010002,84
0.75,0.8,0.840927,0.0108723333333333,75
0.8,0.4,0.840817666666667,0.009439,105
0.8,0.45,0.841662666666667,0.0107306666666667,86.6666666666667
0.8,0.5,0.841549,0.00918033333333333,103
0.8,0.55,0.841028333333333,0.0105716666666667,89
0.8,0.6,0.841273666666667,0.0111946666666667,87.3333333333333
0.8,0.65,0.840233333333333,0.00773233333333333,80
0.8,0.7,0.840869333333333,0.008936,125
0.8,0.75,0.840993666666667,0.0100056666666667,101
0.8,0.8,0.840029,0.010717,86.3333333333333
