Depth,Min_child_weight,r_sample,c_sample,eta,scale_pos_weight,gamma,auc_max,std,best_round
6,2,0.7,0.7,0.01,1,0,0.8407482,0.0114354,691.8
6,2,0.7,0.7,0.01,1,0.1,0.841245,0.0102794,674.666666666667
6,2,0.7,0.7,0.01,1,0.2,0.8417602,0.011615,726.6
6,2,0.7,0.7,0.01,1,0.3,0.8413378,0.0065242,718.166666666667
6,2,0.7,0.7,0.01,1,0.4,0.8406818,0.0065986,732
6,2,0.7,0.7,0.01,1,0.5,0.840553,0.0137714,766.333333333333
6,2,0.7,0.7,0.01,1,0.6,0.840795,0.009716,699.6
6,2,0.7,0.7,0.01,1,0.7,0.8415032,0.009353,767.8
6,2,0.7,0.7,0.01,1,0.8,0.8414548,0.0048926,710
6,2,0.7,0.7,0.01,1,0.9,0.8411524,0.0090592,768
6,2,0.7,0.7,0.01,1,1,0.8418212,0.0063958,697.6
6,2,0.7,0.7,0.01,1,2,0.8415434,0.0105092,735.2
6,2,0.7,0.7,0.01,1,5,0.8407082,0.0072366,787
