gamma,auc_max,std,best_round
0,0.84137,0.011155,54
0.2,0.840052,0.011974,74
0.4,0.840319,0.011859,59
0.6,0.840988,0.012827,68
0.8,0.841044,0.016853,68
1,0.839953,0.008343,66
