Depth,Min_child_weight,r_sample,c_sample,eta,scale_pos_weight,gamma,auc_max,std,best_round
5,4,0.7,0.5,0.01,1,0,0.8414952,0.007676,758.8
5,4,0.7,0.5,0.01,1,0.1,0.842204,0.0084606,837.8
5,4,0.7,0.5,0.01,1,0.2,0.841571,0.0086098,726
5,4,0.7,0.5,0.01,1,0.3,0.8412938,0.0129136,915.833333333333
5,4,0.7,0.5,0.01,1,0.4,0.84188,0.01394,834
5,4,0.7,0.5,0.01,1,0.5,0.8425184,0.0067552,761
5,4,0.7,0.5,0.01,1,0.6,0.8412846,0.0077754,744.8
5,4,0.7,0.5,0.01,1,0.7,0.8421908,0.0065424,823.2
5,4,0.7,0.5,0.01,1,0.8,0.8416492,0.0099636,809
5,4,0.7,0.5,0.01,1,0.9,0.8419266,0.0079508,820.5
5,4,0.7,0.5,0.01,1,1,0.8418162,0.0085672,843.714285714286
5,4,0.7,0.5,0.01,1,2,0.8412252,0.0115024,756
5,4,0.7,0.5,0.01,1,5,0.841461,0.0079916,896
