Depth,Min_child_weight,r_sample,c_sample,eta,scale_pos_weight,gamma,auc_max,std,best_round
5,4,0.7,0.5,0.01,1,0,0.8420226,0.0116232,843.166666666667
5,4,0.7,0.5,0.01,1,0.1,0.8428306,0.0062058,784.6
5,4,0.7,0.5,0.01,1,0.2,0.842002,0.006121,826.166666666667
5,4,0.7,0.5,0.01,1,0.3,0.8420032,0.0081646,927.8
5,4,0.7,0.5,0.01,1,0.4,0.8420028,0.010074,808.6
5,4,0.7,0.5,0.01,1,0.5,0.8417728,0.006196,924.166666666667
5,4,0.7,0.5,0.01,1,0.6,0.8416354,0.0068706,825.857142857143
5,4,0.7,0.5,0.01,1,0.7,0.8431956,0.0108798,1007
5,4,0.7,0.5,0.01,1,0.8,0.8418214,0.0080206,773.6
5,4,0.7,0.5,0.01,1,0.9,0.8408664,0.0081196,779.8
5,4,0.7,0.5,0.01,1,1,0.8419096,0.0119174,876.5
5,4,0.7,0.5,0.01,1,2,0.841751,0.0068434,753
5,4,0.7,0.5,0.01,1,5,0.8416434,0.0107984,840
