Depth,Min_child_weight,r_sample,c_sample,eta,scale_pos_weight,gamma,auc_max,std,best_round
4,0.5,0.7,0.7,0.01,1,0,0.8411076,0.0120812,938.333333333333
4,1,0.7,0.7,0.01,1,0,0.8413584,0.0075554,1137.4
4,2,0.7,0.7,0.01,1,0,0.8420514,0.0081542,1086.8
4,3,0.7,0.7,0.01,1,0,0.841037,0.0086136,999
4,4,0.7,0.7,0.01,1,0,0.8418818,0.0075254,1066.6
5,0.5,0.7,0.7,0.01,1,0,0.8416404,0.0066462,750.8
5,1,0.7,0.7,0.01,1,0,0.8417318,0.0075214,726.6
5,2,0.7,0.7,0.01,1,0,0.8405236,0.0096988,1008.8
5,3,0.7,0.7,0.01,1,0,0.8418224,0.0109008,882.5
5,4,0.7,0.7,0.01,1,0,0.8419652,0.010591,841.4
6,0.5,0.7,0.7,0.01,1,0,0.8421966,0.0081016,831.75
6,1,0.7,0.7,0.01,1,0,0.8419314,0.0056,714
6,2,0.7,0.7,0.01,1,0,0.8422338,0.009781,719.6
6,3,0.7,0.7,0.01,1,0,0.8419568,0.0061352,738.333333333333
6,4,0.7,0.7,0.01,1,0,0.8416594,0.0127014,869
