"f1","f2","f3","f4","f5","f6","f7","f8","f9","f10","f11","f12","f13","f14","f15","f16","f17","f18","auc1","auc2","auc3","auc4","auc5","auc6","auc7","auc8","auc9","auc10"
"f_ratio_num_var42_saldo_var42","saldo_medio_var5_ult3","f_diff_var_15_var_38","var15_ratio","saldo_var42","abs_f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","num_var45_ult3","nonzerocount.saldo","f_num_3_sum_num","num_meses_var5_ult3","f_diff_imp_op_var41_efect_comer_ult1","new_num_prcnt","num_var42","imp_op_var41_efect_ult1","saldo_medio_var5_hace3","nonzerocount.num","f_diff_var_15_larger","abs_f_diff_saldo_medio_var5_hace2_saldo_medio_var5_ult1","0.837209","0.818566","0.831628","0.823053","0.833443","0.827042","0.834603","0.807603","0.815742","0.84437"
"abs_f_diff_saldo_var5_saldo_medio_var5_hace3","abs_f_ratio_num_var30_saldo_var30","new_num_group5_prcnt","num_var45_ult3","abs_f_diff_saldo_medio_var5_ult13","f_diff_var_15_var_38","num_quantile_diff_3","f_diff_var_15_var_36_less_60","f_diff_var_15_var_36_rank","new_ind_var30_0","f_num_3_sum_num","sald0_quantile_diff_1","f_diff_saldo_var5_saldo_medio_var5_hace3","imp_op_var39_ult1","saldo_medio_var5_ult3","f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","f_diff_var_15_larger","new_num_0_group5_sum","0.835982","0.817137","0.83684","0.825424","0.818712","0.824191","0.835137","0.822374","0.833334","0.842151"
"max.saldo","new_ind_var5_0","abs_f_diff_saldo_medio_var5_ult13","abs_f_diff_saldo_var5_saldo_medio_var5_hace3","num_var45_ult3","new_num_group5_prcnt","f_diff_saldo_var5_saldo_medio_var5_hace3","f_diff_var_15_var_36_rank","var15_ratio","saldo_var37","saldo_medio_var5_hace2","saldo_var30","saldo_medio_var8_ult3","f_diff_num_var30_4","nonzerocount.num","num_var4","saldo_var8","saldo_var42","0.832456","0.823851","0.824632","0.807168","0.815648","0.80534","0.816287","0.810441","0.818806","0.83323"
"f_diff_var_15_var_36_rank","new_num_group5_prcnt","num_var22_hace2","imp_op_var39_ult1","new_num_var30_0","imp_trans_var37_ult1","saldo_var30","abs_f_diff_saldo_var5_saldo_medio_var5_hace2","abs_f_ratio_num_var30_saldo_var30","new_ind_sum","f_diff_saldo_var5_saldo_medio_var5_hace2","abs_f_diff_saldo_var5_saldo_medio_var5_hace3","saldo_medio_var5_hace3","imp_op_var41_comer_ult3","var15_ratio","new_num_sum","f_diff_var_15_var_38","saldo_var5","0.834043","0.83245","0.831912","0.819913","0.822111","0.827807","0.833305","0.8249","0.830513","0.846413"
"saldo_var30","abs_f_diff_saldo_var5_42","num_med_var22_ult3","f_diff_num_var30_4","f_diff_var_15_var_38","new_num_var8_0","num_var5","ind_comb_rank","f_diff_var_15_var_36_rank","f_diff_var_15_var_36_less_60","saldo_medio_var5_hace3","f_diff_saldo_var5_saldo_medio_var5_hace3","ind_var5","num_med_var45_ult3","abs_f_diff_saldo_var5_saldo_medio_var5_hace3","nonzerocount.num","num_meses_var39_vig_ult3","var15","0.842562","0.832248","0.839314","0.810054","0.836949","0.831029","0.837526","0.826197","0.823634","0.839679"
"num_var45_hace3","saldo_var30","f_diff_var_15_var_36_cutpoint_smaller","ind_var30","num_med_var45_ult3","imp_op_var39_comer_ult1","max.saldo","new_num_group5_sum","num_var4","imp_op_var41_efect_ult1","f_diff_imp_op_var41_efect_comer_ult1","f_diff_var_15_larger","num_var35","var15","f_diff_var_15_var_36_less_60","num_meses_var5_ult3","imp_trans_var37_ult1","f_diff_var_15_var_36_rank","0.827067","0.836151","0.820543","0.812822","0.826547","0.809627","0.826716","0.802644","0.819394","0.83364"
"f_diff_var_15_var_38","new_num_group5_prcnt","f_diff_num_var45_ult13","abs_f_ratio_num_var30_saldo_var30","saldo_var42","f_diff_saldo_medio_var5_ult13","num_var45_hace2","num_var4","var15_ratio","imp_op_var39_comer_ult3","var15","f_diff_var_15_larger","new_num_var5_0","nonzerocount.num","f_num_3_sum_num","new_ind_var30_0","saldo_var8","ind_var30","0.839847","0.824322","0.834707","0.820208","0.831912","0.827067","0.834444","0.821877","0.828284","0.83856"
"abs_f_diff_saldo_medio_var5_ult13","saldo_medio_var5_ult3","num_var4","saldo_medio_var5_hace2","var15","f_diff_var_15_var_38","imp_var43_emit_ult1","f_diff_var_15_var_36_cutpoint_smaller","f_diff_saldo_var5_saldo_medio_var5_ult1","abs_f_ratio_num_var30_saldo_var30","new_num_sum","f_diff_imp_op_var39_comer_ult13","num_var30","f_diff_num_var30_4","new_ftr_ult1_ult3_ratio_num_var45","new_num_var5_0","saldo_var8","new_ind_sum","0.837967","0.838461","0.827979","0.819495","0.811744","0.806346","0.834201","0.822359","0.825484","0.845195"
"sald0_quantile_diff_3","sald0_quantile_diff_2","abs_f_diff_saldo_var5_30","f_diff_num_var30_4","saldo_medio_var5_hace2","new_ind_0_group5_sum","new_num_sum","saldo_medio_var5_ult3","num_var45_ult1","var38_ratio","new_num_var30_0","num_var45_ult3","f_diff_var_15_var_36_rank","new_ftr_ult1_ult3_ratio_saldo_medio_var5","saldo_var30","num_quantile_diff_3","num_var22_hace2","f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","0.838502","0.80932","0.837892","0.824669","0.814446","0.803982","0.835331","0.801353","0.807304","0.843563"
"nonzerocount.saldo","abs_f_ratio_num_var30_saldo_var30","f_num_3_sum_num","f_diff_var_15_var_36_cutpoint_smaller","abs_f_ratio_num_var5_saldo_var5","saldo_medio_var5_ult1","f_diff_var_15_var_36_less_60","imp_ent_var16_ult1","abs_f_diff_saldo_var5_saldo_medio_var5_hace3","abs_f_diff_saldo_var5_30","saldo_var42","abs_f_diff_saldo_medio_var5_ult13","num_meses_var5_ult3","var38","f_diff_var_15_var_36_rank","abs_f_diff_saldo_var5_saldo_medio_var5_hace2","abs_f_diff_imp_op_var41_efect_comer_ult1","imp_op_var39_ult1","0.828005","0.827113","0.835931","0.813","0.832619","0.811168","0.825137","0.821439","0.827903","0.840319"
"ind_var30","new_ind_sum","abs_f_diff_saldo_var5_saldo_medio_var5_ult1","imp_op_var41_comer_ult3","n0","saldo_medio_var5_hace2","new_num_var30_0","var15","new_ind_var30_0","abs_f_diff_saldo_medio_var5_hace2_saldo_medio_var5_ult1","saldo_medio_var5_hace3","max.saldo","f_diff_saldo_var5_saldo_medio_var5_hace2","abs_f_diff_num_var30_4","var38_ratio","abs_f_ratio_num_var30_saldo_var30","saldo_var30","f_diff_var_15_var_38","0.841161","0.828577","0.837398","0.819808","0.83664","0.828074","0.838118","0.809067","0.833888","0.835068"
"new_num_var5_0","abs_f_diff_saldo_medio_var5_hace2_saldo_medio_var5_ult1","saldo_medio_var5_ult3","imp_op_var41_efect_ult1","var38","abs_f_diff_saldo_var5_saldo_medio_var5_ult1","var15_ratio","f_diff_saldo_medio_var5_ult13","abs_f_diff_imp_op_var41_efect_comer_ult1","abs_f_ratio_num_var30_saldo_var30","var36","new_ftr_ult1_ult3_ratio_saldo_medio_var5","new_ind_0_group5_sum","saldo_medio_var5_hace2","new_ftr_ult1_ult3_ratio_num_var45","abs_f_diff_saldo_var5_30","f_diff_var_15_var_38","new_num_group5_prcnt","0.832286","0.837777","0.833349","0.818443","0.837352","0.826677","0.825846","0.823049","0.825143","0.840363"
"f_diff_var_15_var_36_less_60","saldo_var42","f_diff_saldo_medio_var5_hace2_saldo_medio_var5_ult1","saldo_medio_var5_ult1","abs_f_diff_saldo_medio_var5_8_ult11","abs_f_ratio_num_var30_saldo_var30","f_diff_var_15_var_38","new_ind_var5_0","saldo_var8","abs_f_diff_saldo_var5_saldo_medio_var5_hace3","var15_ratio","saldo_var30","saldo_medio_var5_ult3","f_num_quan_70_sum_saldo","num_var22_ult3","f_diff_num_var30_4","new_num_group5_sum","num_var5","0.836524","0.829798","0.826177","0.818755","0.833829","0.828489","0.822858","0.822013","0.818581","0.83695"
"abs_f_diff_saldo_medio_var5_8_ult11","new_num_prcnt","num_var45_hace2","max.saldo","saldo_var30","ind_comb_rank","num_var45_ult1","nonzerocount.num","num_quantile_diff_3","var38","f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","saldo_medio_var5_hace3","f_num_3_sum_num","abs_f_diff_saldo_var5_30","new_num_var30_0","abs_f_diff_saldo_var5_saldo_medio_var5_hace2","var15_ratio","f_diff_saldo_var5_saldo_medio_var5_ult1","0.841605","0.826731","0.837343","0.818196","0.835452","0.829498","0.833994","0.812505","0.832748","0.847137"
"num_of_used","f_diff_num_var30_4","saldo_medio_var5_hace2","num_var4","new_ind_var5_0","num_var45_hace3","var38","abs_f_diff_saldo_medio_var5_hace2_saldo_medio_var5_ult1","abs_f_diff_num_var30_4","f_diff_var_15_var_36_less_60","saldo_var30","var15","f_diff_num_var22_ult3_num_med_var45_ult3","num_meses_var5_ult3","abs_f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","imp_op_var41_comer_ult3","ind_var5","new_ind_var30_0","0.839712","0.841695","0.829346","0.813894","0.838049","0.829175","0.839135","0.82536","0.835406","0.848303"
"saldo_var30","saldo_var5","nonzerocount.saldo","new_ind_group5_sum","f_diff_var_15_var_36_cutpoint_smaller","ind_comb_rank","num_var22_hace3","f_diff_var_15_var_36_less_60","abs_f_diff_saldo_var5_saldo_medio_var5_ult1","f_diff_var_15_larger","abs_f_diff_saldo_medio_var5_8_ult11","f_diff_num_var30_4","num_var5","saldo_medio_var5_ult3","abs_f_diff_saldo_var5_30","imp_op_var39_ult1","var15_ratio","sald0_quantile_diff_2","0.824863","0.828365","0.815974","0.813411","0.818125","0.811615","0.823273","0.803403","0.822752","0.823981"
"var15_ratio","num_var45_hace2","abs_f_diff_saldo_var5_42","f_diff_var_15_var_36_less_60","saldo_var42","sald0_quantile_diff_1","new_num_var30_0","new_num_sum","max.saldo","num_meses_var5_ult3","f_ratio_num_var42_saldo_var42","f_diff_var_15_larger","f_diff_var_15_var_36_cutpoint_smaller","saldo_medio_var5_hace2","saldo_medio_var5_ult1","new_ind_sum","saldo_var37","saldo_var30","0.832662","0.830476","0.817654","0.805608","0.82409","0.805681","0.809045","0.801485","0.812599","0.831193"
"saldo_medio_var5_hace3","abs_f_diff_num_var30_4","f_diff_imp_op_var39_comer_ult13","saldo_var5","imp_ent_var16_ult1","abs_f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","f_ratio_num_var42_saldo_var42","imp_op_var39_ult1","new_num_group5_prcnt","nonzerocount.saldo","new_ind_var5_0","var15_ratio","abs_f_ratio_num_var30_saldo_var30","f_diff_saldo_medio_var5_8_ult11","f_diff_saldo_var5_saldo_medio_var5_hace3","f_diff_num_var22_ult3_num_med_var45_ult3","imp_op_var39_comer_ult3","f_diff_saldo_var5_saldo_medio_var5_ult1","0.829129","0.828422","0.826652","0.813595","0.827505","0.812842","0.819656","0.807329","0.821978","0.831789"
"imp_op_var41_efect_ult3","num_var30","f_num_quan_70_sum_saldo","var15_ratio","abs_f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","f_diff_var_15_var_38","new_num_prcnt","f_num_3_sum_num","f_ratio_num_var42_saldo_var42","f_diff_saldo_var5_saldo_medio_var5_hace3","new_num_var30_0","f_diff_var_15_var_36_less_60","f_diff_saldo_medio_var5_8_ult11","f_diff_var_15_larger","nonzerocount.num","num_of_used","new_ind_group5_sum","var38","0.838869","0.825461","0.815506","0.824547","0.82265","0.829574","0.836518","0.823134","0.815487","0.845368"
"abs_f_diff_saldo_var5_saldo_medio_var5_ult1","f_diff_saldo_var5_saldo_medio_var5_hace3","saldo_var30","new_num_group5_sum","saldo_medio_var5_ult3","var15","num_var45_hace3","abs_f_diff_saldo_var5_saldo_medio_var5_hace2","new_ftr_ult1_ult3_ratio_num_var45","new_num_prcnt","imp_op_var39_comer_ult3","ind_var5","abs_f_diff_saldo_var5_42","f_diff_num_var45_ult13","saldo_medio_var5_hace3","var15_ratio","num_var35","num_var22_hace3","0.822579","0.821635","0.825086","0.80371","0.816365","0.805716","0.817303","0.816694","0.823291","0.831225"
"sald0_quantile_diff_3","abs_f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","var15_ratio","num_meses_var39_vig_ult3","f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","f_num_non_zero_sum_ind","num_of_used","num_var45_hace2","new_num_sum","saldo_var30","f_num_quan_70_sum_saldo","saldo_medio_var5_ult3","num_med_var45_ult3","abs_f_diff_saldo_medio_var5_ult13","new_ind_var30_0","nonzerocount.saldo","num_var22_hace2","num_var5","0.825581","0.821376","0.819931","0.807867","0.822848","0.820508","0.825826","0.812607","0.814953","0.831848"
"ind_comb_rank","var38_ratio","saldo_var5","f_ratio_num_var42_saldo_var42","f_diff_var_15_var_36_rank","abs_f_ratio_num_var5_saldo_var5","new_num_var30_0","f_diff_num_var30_4","new_ind_var5_0","num_of_used","f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","max.saldo","abs_f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","abs_f_diff_saldo_medio_var5_ult13","imp_op_var41_comer_ult3","new_ind_group5_sum","num_var45_hace3","num_var45_ult3","0.838779","0.83485","0.836047","0.82322","0.821294","0.823032","0.811769","0.805396","0.828358","0.826925"
"ind_var5","f_diff_var_15_var_36_rank","new_ind_group5_sum","num_var42","f_diff_saldo_medio_var5_hace2_saldo_medio_var5_ult1","saldo_medio_var5_hace2","sald0_quantile_diff_3","f_diff_var_15_var_38","abs_f_diff_saldo_var5_42","ind_var30","abs_f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","saldo_medio_var8_ult1","saldo_medio_var5_ult3","saldo_var42","nonzerocount.saldo","num_var35","var15","num_var45_hace3","0.837235","0.837887","0.831956","0.822156","0.824877","0.810103","0.832633","0.803652","0.830101","0.831704"
"abs_f_diff_saldo_var5_30","sald0_quantile_diff_3","f_diff_var_15_larger","abs_f_diff_num_var30_4","f_diff_var_15_var_36_rank","abs_f_ratio_num_var30_saldo_var30","imp_op_var39_comer_ult3","new_ind_var30_0","num_var5","num_of_used","f_diff_var_15_var_36_cutpoint_smaller","abs_f_diff_saldo_medio_var5_hace2_saldo_medio_var5_ult1","n0","saldo_medio_var5_ult1","saldo_medio_var5_hace2","var15_ratio","num_var45_hace3","num_var45_ult1","0.835594","0.831927","0.825186","0.803414","0.812919","0.822069","0.816143","0.802643","0.808351","0.839367"
"max.saldo","new_num_group5_sum","n0","imp_op_var39_ult1","f_diff_var_15_var_36_rank","abs_f_diff_num_var30_4","var15","imp_op_var39_comer_ult3","num_var22_ult3","nonzerocount.num","f_diff_saldo_medio_var5_8_ult11","new_ind_sum","imp_op_var41_efect_ult3","saldo_medio_var8_ult3","var38","ind_comb_rank","saldo_medio_var5_ult1","saldo_var30","0.835222","0.838111","0.837736","0.823888","0.832506","0.830082","0.825657","0.82509","0.82991","0.846793"
"f_diff_imp_op_var41_efect_comer_ult1","var38","new_num_var5_0","num_med_var22_ult3","num_var22_ult1","f_num_quan_70_sum_saldo","f_diff_saldo_medio_var5_ult13","new_ind_sum","num_var42","new_num_group5_sum","imp_trans_var37_ult1","ind_var30","new_ind_var30_0","num_var45_hace3","num_var5","abs_f_diff_saldo_medio_var5_hace2_saldo_medio_var5_ult1","f_diff_imp_op_var41_comer_ult13","var15_ratio","0.842915","0.839822","0.815412","0.82078","0.820839","0.827333","0.823468","0.823382","0.818729","0.835974"
