"f1","f2","f3","f4","f5","f6","f7","f8","f9","f10","f11","f12","f13","f14","f15","f16","f17","f18","auc1","auc2","auc3","auc4","auc5","auc6","auc7","auc8","auc9","auc10"
"saldo_medio_var5_hace3","f_diff_var_15_var_38","saldo_var8","num_meses_var39_vig_ult3","abs_f_diff_saldo_var5_30","num_var35","saldo_var30","abs_f_ratio_num_var30_saldo_var30","num_var4","var15","saldo_var5","num_meses_var5_ult3","abs_f_diff_saldo_medio_var5_8_ult11","abs_f_diff_saldo_var5_saldo_medio_var5_ult1","var36","abs_f_diff_saldo_medio_var5_ult13","new_num_sum","abs_f_diff_saldo_var5_42","0.832614","0.829729","0.825848","0.806165","0.816859","0.824917","0.832143","0.822571","0.828358","0.835652"
"num_var42","f_diff_num_var30_4","max.saldo","f_ratio_num_var42_saldo_var42","saldo_var5","num_quantile_diff_3","var15","f_diff_saldo_var5_saldo_medio_var5_ult1","saldo_medio_var5_ult3","abs_f_ratio_num_var5_saldo_var5","f_diff_var_15_var_36_cutpoint_smaller","num_var35","f_diff_var_15_var_36_rank","var15_ratio","nonzerocount.saldo","sald0_quantile_diff_2","f_diff_var_15_larger","f_diff_saldo_medio_var5_hace2_saldo_medio_var5_ult1","0.829139","0.830956","0.824966","0.815175","0.817422","0.819718","0.824274","0.814358","0.82307","0.835423"
"ind_comb_rank","new_ftr_ult1_ult3_ratio_saldo_medio_var5","max.saldo","saldo_var42","ind_var5","f_num_non_zero_sum_ind","abs_f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","ind_var30","f_num_quan_70_sum_saldo","f_diff_var_15_larger","abs_f_diff_saldo_var5_saldo_medio_var5_hace3","f_diff_var_15_var_38","f_ratio_num_var42_saldo_var42","num_var35","abs_f_ratio_num_var30_saldo_var30","new_num_group5_prcnt","num_meses_var5_ult3","var15_ratio","0.83207","0.826393","0.830088","0.814183","0.833649","0.823205","0.831937","0.816527","0.820341","0.836813"
"var15","f_ratio_num_var42_saldo_var42","num_of_used","new_num_group5_prcnt","saldo_medio_var5_ult3","f_diff_var_15_var_36_less_60","abs_f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","imp_op_var41_comer_ult1","f_diff_var_15_var_38","abs_f_diff_saldo_medio_var5_8_ult11","abs_f_diff_saldo_var5_saldo_medio_var5_hace2","new_ind_var30_0","abs_f_ratio_num_var30_saldo_var30","sald0_quantile_diff_2","f_diff_imp_op_var41_efect_ult13","saldo_medio_var5_ult1","new_num_var30_0","num_var45_ult1","0.828631","0.834187","0.834804","0.8078","0.834819","0.826468","0.837091","0.821335","0.822068","0.839446"
"f_diff_var_15_var_38","num_var45_hace2","abs_f_diff_imp_op_var41_efect_comer_ult1","new_num_var5_0","new_ind_var30_0","new_num_sum","new_num_group5_sum","saldo_medio_var5_hace2","f_num_3_sum_num","num_var42","abs_f_diff_saldo_medio_var5_8_ult11","f_diff_saldo_var5_saldo_medio_var5_hace2","var38_ratio","new_ind_var5_0","f_diff_var_15_var_36_less_60","new_num_prcnt","f_diff_var_15_var_36_rank","var15","0.835948","0.837381","0.833287","0.820077","0.808122","0.826945","0.834573","0.820268","0.810628","0.836266"
"num_var42","f_diff_saldo_var5_saldo_medio_var5_hace2","f_diff_var_15_larger","new_num_prcnt","f_diff_var_15_var_36_rank","var38","f_diff_var_15_var_36_less_60","saldo_var42","f_diff_num_var30_4","f_diff_var_15_var_36_cutpoint_smaller","num_var45_hace2","num_meses_var5_ult3","num_of_used","imp_op_var39_comer_ult3","imp_op_var39_efect_ult3","saldo_medio_var5_ult3","saldo_medio_var5_hace2","num_var5","0.836703","0.838493","0.832183","0.80891","0.833353","0.825938","0.831571","0.819399","0.829482","0.841173"
"num_of_used","num_var4","num_med_var45_ult3","f_ratio_num_var42_saldo_var42","num_quantile_diff_3","nonzerocount.saldo","sald0_quantile_diff_2","num_var42","num_meses_var39_vig_ult3","new_ind_group5_sum","var36","saldo_var42","f_diff_var_15_var_36_rank","new_num_group5_prcnt","new_ind_sum","f_num_non_zero_sum_ind","f_diff_var_15_var_38","saldo_var30","0.839496","0.83943","0.816774","0.803139","0.820106","0.804513","0.81542","0.803376","0.811454","0.823767"
"imp_op_var39_ult1","num_meses_var5_ult3","f_diff_var_15_var_36_less_60","f_diff_num_var30_4","new_num_group5_prcnt","new_ind_sum","f_diff_var_15_var_36_rank","max.saldo","abs_f_diff_num_var30_4","sald0_quantile_diff_3","var38_ratio","new_ftr_ult1_ult3_ratio_num_var45","saldo_var42","num_med_var45_ult3","saldo_medio_var5_ult3","f_diff_saldo_var5_saldo_medio_var5_hace2","abs_f_diff_saldo_var5_saldo_medio_var5_hace2","new_num_var5_0","0.838448","0.813996","0.840494","0.828272","0.834908","0.825125","0.836776","0.824069","0.832528","0.844131"
"nonzerocount.saldo","new_num_var5_0","abs_f_diff_saldo_var5_saldo_medio_var5_hace2","f_diff_saldo_var5_saldo_medio_var5_ult1","var15","abs_f_diff_num_var30_4","num_var22_hace2","new_num_sum","f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","abs_f_diff_num_var22_ult3_num_med_var45_ult3","saldo_medio_var5_hace3","f_diff_imp_op_var41_efect_comer_ult1","new_ftr_ult1_ult3_ratio_imp_op_var39_comer","num_var42","f_diff_num_var30_4","saldo_medio_var8_ult3","f_diff_var_15_var_36_cutpoint_smaller","saldo_var30","0.815544","0.815895","0.811128","0.809058","0.813206","0.810152","0.814225","0.805378","0.820538","0.824251"
"abs_f_ratio_num_var5_saldo_var5","var15_ratio","abs_f_diff_saldo_var5_saldo_medio_var5_hace2","f_diff_var_15_var_36_less_60","num_var42","num_of_used","new_num_sum","var38_ratio","imp_var43_emit_ult1","imp_trans_var37_ult1","f_diff_num_var30_4","new_num_var30_0","sald0_quantile_diff_3","new_ind_sum","saldo_medio_var5_hace3","new_num_prcnt","abs_f_ratio_num_var30_saldo_var30","f_diff_num_var22_ult3_num_med_var45_ult3","0.832772","0.827593","0.819426","0.815096","0.822335","0.828305","0.836697","0.824739","0.820895","0.836451"
"f_diff_var_15_var_38","new_ind_var5_0","var15_ratio","f_diff_num_var45_ult13","nonzerocount.num","nonzerocount.saldo","saldo_var8","max.saldo","new_num_group5_prcnt","abs_f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","num_var4","abs_f_diff_saldo_var5_saldo_medio_var5_ult1","num_med_var45_ult3","imp_op_var41_efect_ult1","abs_f_diff_saldo_medio_var5_8_ult11","new_ind_0_group5_sum","var38","abs_f_diff_saldo_var5_saldo_medio_var5_hace2","0.825584","0.823119","0.834482","0.82011","0.832144","0.81761","0.837051","0.822862","0.830937","0.845197"
"num_var45_hace3","f_diff_var_15_var_38","new_ind_group5_sum","abs_f_diff_saldo_medio_var5_hace2_saldo_medio_var5_ult1","var15_ratio","nonzerocount.saldo","new_ftr_ult1_ult3_ratio_num_var45","abs_f_ratio_num_var30_saldo_var30","new_ind_var30_0","f_diff_var_15_larger","n0","ind_var30","saldo_medio_var5_ult1","new_num_sum","max.saldo","imp_op_var41_comer_ult1","ind_comb_rank","abs_f_diff_saldo_var5_saldo_medio_var5_ult1","0.833823","0.839206","0.831327","0.811664","0.830892","0.824665","0.819556","0.82415","0.819661","0.840573"
"saldo_medio_var5_ult1","num_var30","f_diff_var_15_larger","saldo_var42","new_num_group5_prcnt","abs_f_diff_saldo_var5_saldo_medio_var5_hace3","f_ratio_num_var42_saldo_var42","f_diff_saldo_var5_saldo_medio_var5_hace3","saldo_var5","new_ind_0_group5_sum","num_var45_ult1","abs_f_ratio_num_var30_saldo_var30","var15_ratio","new_ftr_ult1_ult3_ratio_num_var45","f_num_3_sum_num","abs_f_ratio_num_var5_saldo_var5","imp_op_var39_comer_ult3","abs_f_diff_imp_op_var41_efect_comer_ult1","0.82659","0.826181","0.82444","0.810357","0.827411","0.806941","0.826259","0.81602","0.810849","0.832032"
"abs_f_diff_saldo_medio_var5_ult13","sald0_quantile_diff_1","nonzerocount.num","num_var22_ult1","max.saldo","f_ratio_num_var42_saldo_var42","saldo_medio_var5_ult3","f_diff_var_15_var_36_cutpoint_smaller","f_diff_var_15_var_38","new_ind_var30_0","saldo_medio_var5_hace3","nonzerocount.saldo","abs_f_ratio_num_var30_saldo_var30","f_diff_var_15_var_36_rank","new_ind_sum","f_num_quan_70_sum_saldo","new_num_group5_sum","saldo_var42","0.841099","0.819657","0.837822","0.80266","0.808528","0.809585","0.834812","0.806336","0.832242","0.844172"
"new_ind_sum","num_var35","ind_var30","f_num_non_zero_sum_ind","abs_f_diff_saldo_var5_30","f_diff_saldo_medio_var5_ult13","num_var5","saldo_var30","num_quantile_diff_1","f_diff_saldo_var5_saldo_medio_var5_hace3","new_num_var30_0","sald0_quantile_diff_1","f_diff_saldo_medio_var5_hace2_saldo_medio_var5_ult1","f_diff_saldo_medio_var5_8_ult11","saldo_medio_var5_hace3","abs_f_diff_saldo_var5_saldo_medio_var5_hace3","num_var22_ult1","var15","0.82527","0.824092","0.828402","0.810326","0.819265","0.808553","0.818022","0.818185","0.819282","0.826149"
"f_diff_saldo_var5_saldo_medio_var5_hace2","new_num_var5_0","abs_f_diff_saldo_var5_saldo_medio_var5_hace3","var36","ind_var5","num_var30","num_med_var22_ult3","f_diff_var_15_larger","var15","saldo_var37","saldo_medio_var5_ult3","nonzerocount.saldo","f_diff_var_15_var_36_less_60","sald0_quantile_diff_3","num_var22_ult1","abs_f_diff_num_var30_4","f_diff_num_var45_ult13","f_diff_num_var30_4","0.814393","0.817158","0.815628","0.804792","0.812449","0.818414","0.810654","0.81287","0.802641","0.827939"
"saldo_var30","f_diff_saldo_medio_var5_ult13","num_meses_var5_ult3","abs_f_diff_saldo_var5_saldo_medio_var5_ult1","f_diff_var_15_var_36_rank","abs_f_ratio_num_var30_saldo_var30","imp_op_var41_ult1","f_diff_num_var45_ult13","abs_f_diff_saldo_var5_saldo_medio_var5_hace3","f_diff_imp_op_var41_efect_comer_ult1","saldo_medio_var5_hace2","num_var45_hace2","var38_ratio","f_diff_var_15_var_36_less_60","f_diff_var_15_var_36_cutpoint_smaller","num_var5","saldo_medio_var5_hace3","abs_f_diff_saldo_medio_var5_8_ult11","0.835759","0.825581","0.816841","0.823119","0.816318","0.824941","0.832135","0.807869","0.830619","0.841387"
"new_ind_var30_0","new_ftr_ult1_ult3_ratio_num_var45","f_diff_var_15_var_36_cutpoint_smaller","num_var4","abs_f_diff_imp_op_var41_efect_comer_ult1","ind_var5","saldo_medio_var5_ult3","saldo_medio_var5_hace2","new_ind_sum","f_diff_var_15_var_36_less_60","imp_op_var41_ult1","var38_ratio","nonzerocount.saldo","imp_op_var39_ult1","saldo_medio_var5_ult1","saldo_var42","saldo_var30","num_var30","0.817347","0.825227","0.834626","0.811337","0.829323","0.821443","0.821199","0.807742","0.82867","0.820992"
"new_ind_var30_0","f_ratio_num_var42_saldo_var42","imp_op_var41_comer_ult3","f_diff_num_var45_ult13","abs_f_diff_saldo_var5_saldo_medio_var5_hace2","var15","nonzerocount.num","f_diff_num_var22_ult3_num_med_var45_ult3","f_diff_var_15_var_38","abs_f_diff_num_var30_4","f_diff_saldo_medio_var5_ult13","saldo_medio_var5_ult3","max.saldo","abs_f_diff_saldo_medio_var5_ult13","abs_f_ratio_num_var30_saldo_var30","var38","saldo_var42","sald0_quantile_diff_1","0.832371","0.824093","0.835936","0.816752","0.826323","0.829391","0.839037","0.80909","0.836045","0.847868"
"num_quantile_diff_1","saldo_medio_var5_ult1","f_diff_saldo_var5_saldo_medio_var5_ult1","num_var4","new_num_prcnt","new_num_group5_sum","abs_f_diff_num_var30_4","saldo_medio_var5_hace2","var15","num_of_used","abs_f_diff_saldo_medio_var5_8_ult11","imp_trans_var37_ult1","abs_f_ratio_num_var30_saldo_var30","f_num_3_sum_num","sald0_quantile_diff_3","new_ind_sum","abs_f_diff_saldo_var5_saldo_medio_var5_hace2","saldo_medio_var8_ult3","0.828064","0.822527","0.824189","0.806469","0.82679","0.80481","0.820301","0.815725","0.813858","0.834922"
"abs_f_diff_saldo_medio_var5_ult13","abs_f_diff_imp_op_var41_efect_comer_ult1","saldo_var5","sald0_quantile_diff_2","new_ind_0_group5_sum","saldo_medio_var5_hace3","saldo_medio_var5_hace2","saldo_medio_var5_ult1","abs_f_diff_saldo_var5_saldo_medio_var5_hace2","num_var42","f_diff_var_15_var_36_rank","num_meses_var5_ult3","saldo_var30","var38_ratio","f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","var38","n0","new_ftr_ult1_ult3_ratio_num_var45","0.825171","0.838266","0.809288","0.823958","0.836665","0.807955","0.835072","0.805045","0.808556","0.845401"
"new_num_var5_0","num_meses_var5_ult3","nonzerocount.num","num_var45_ult1","var15","f_diff_num_var22_ult3_num_med_var45_ult3","num_of_used","f_diff_var_15_var_36_rank","abs_f_diff_saldo_var5_30","num_var45_ult3","num_var45_hace3","f_num_non_zero_sum_ind","var38_ratio","var36","f_diff_var_15_var_36_cutpoint_smaller","abs_f_diff_saldo_var5_saldo_medio_var5_hace2","num_var22_hace2","abs_f_ratio_num_var5_saldo_var5","0.818893","0.812988","0.835102","0.803499","0.821196","0.805288","0.838704","0.824884","0.832061","0.82072"
"abs_f_diff_saldo_var5_30","num_of_used","var15","num_var45_ult3","new_num_sum","f_diff_var_15_var_36_cutpoint_smaller","sald0_quantile_diff_2","imp_op_var41_ult1","num_quantile_diff_1","abs_f_diff_num_var30_4","abs_f_diff_saldo_var5_saldo_medio_var5_hace2","abs_f_ratio_num_var5_saldo_var5","abs_f_diff_saldo_var5_saldo_medio_var5_hace3","f_diff_saldo_medio_var5_8_ult11","new_ind_group5_sum","max.saldo","saldo_var5","f_num_non_zero_sum_ind","0.831302","0.834992","0.830919","0.803359","0.81156","0.819758","0.811529","0.815859","0.803789","0.837797"
"nonzerocount.saldo","num_var45_hace3","abs_f_diff_saldo_medio_var5_hace2_saldo_medio_var5_ult1","abs_f_diff_saldo_medio_var5_ult13","n0","num_var42","var15","new_ind_group5_sum","f_num_quan_70_sum_saldo","saldo_var5","new_num_sum","saldo_var30","new_ftr_ult1_ult3_ratio_saldo_medio_var5","new_ftr_ult1_ult3_ratio_imp_op_var39_efect","f_ratio_num_var42_saldo_var42","saldo_var37","new_num_var5_0","saldo_var42","0.827523","0.824652","0.823629","0.808183","0.819172","0.813138","0.82868","0.818039","0.823551","0.827614"
"new_num_var30_0","f_diff_var_15_var_36_cutpoint_smaller","num_meses_var5_ult3","new_ind_sum","abs_f_diff_saldo_var5_saldo_medio_var5_ult1","abs_f_diff_saldo_medio_var5_8_ult11","imp_op_var39_ult1","num_of_used","nonzerocount.saldo","f_num_quan_70_sum_saldo","var15_ratio","nonzerocount.num","num_med_var45_ult3","abs_f_diff_saldo_var5_42","num_var30","f_diff_saldo_medio_var5_hace2_saldo_medio_var5_ult1","saldo_medio_var5_hace3","f_diff_num_var30_4","0.832926","0.832504","0.832355","0.81688","0.807441","0.823722","0.828306","0.817106","0.826161","0.839889"
"new_ind_group5_sum","f_diff_var_15_var_36_cutpoint_smaller","f_diff_var_15_var_36_less_60","imp_op_var41_efect_ult3","new_ind_0_group5_sum","f_num_quan_70_sum_saldo","f_diff_saldo_medio_var5_8_ult11","f_diff_var_15_larger","f_diff_var_15_var_36_rank","saldo_var30","new_ind_var30_0","abs_f_diff_saldo_var5_saldo_medio_var5_hace3","num_meses_var5_ult3","abs_f_diff_saldo_var5_saldo_medio_var5_ult1","f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","new_num_var30_0","var38","abs_f_diff_saldo_medio_var5_ult13","0.836222","0.826386","0.815829","0.824115","0.833539","0.825216","0.832612","0.805727","0.811278","0.842035"
"new_ind_var30_0","ind_var30","f_ratio_num_var42_saldo_var42","var15_ratio","abs_f_diff_saldo_var5_30","f_diff_imp_op_var41_comer_ult13","f_diff_saldo_var5_saldo_medio_var5_ult1","num_meses_var39_vig_ult3","abs_f_diff_saldo_medio_var5_hace2_saldo_medio_var5_ult1","imp_op_var41_efect_ult3","new_ftr_ult1_ult3_ratio_num_var45","var38_ratio","saldo_var42","imp_trans_var37_ult1","f_diff_num_var45_ult13","abs_f_diff_saldo_var5_saldo_medio_var5_hace3","f_diff_saldo_var5_saldo_medio_var5_hace2","new_num_group5_prcnt","0.841054","0.840189","0.83567","0.8173","0.835218","0.829425","0.833131","0.812123","0.808485","0.846403"
"f_diff_saldo_var5_saldo_medio_var5_hace3","new_num_sum","saldo_var8","num_var45_ult3","nonzerocount.saldo","num_var5","f_diff_saldo_var5_saldo_medio_var5_hace2","f_ratio_num_var42_saldo_var42","ind_comb_rank","num_of_used","new_ind_var5_0","new_ftr_ult1_ult3_ratio_num_var22","var15","abs_f_diff_num_var30_4","abs_f_diff_saldo_var5_30","num_var42","f_diff_var_15_larger","new_num_var30_0","0.833505","0.820499","0.830347","0.803189","0.827718","0.800278","0.826371","0.815688","0.825279","0.828533"
"new_num_var30_0","num_meses_var5_ult3","sald0_quantile_diff_2","ind_var5","var15_ratio","num_med_var45_ult3","num_of_used","ind_comb_rank","abs_f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","abs_f_diff_saldo_medio_var5_hace2_saldo_medio_var5_ult1","saldo_medio_var5_ult1","num_var45_hace2","new_ind_group5_sum","abs_f_diff_saldo_medio_var5_ult13","num_var45_ult1","f_diff_num_var30_4","ind_var30","num_var22_hace2","0.819292","0.826852","0.821394","0.812497","0.823814","0.817298","0.822597","0.810931","0.809132","0.82915"
"var15","f_diff_var_15_var_36_cutpoint_smaller","abs_f_diff_saldo_var5_30","new_ftr_ult1_ult3_ratio_num_var45","saldo_medio_var8_ult1","abs_f_diff_num_var30_4","abs_f_diff_saldo_medio_var5_8_ult11","imp_ent_var16_ult1","abs_f_diff_saldo_medio_var5_ult13","num_of_used","f_diff_num_var30_4","f_ratio_num_var42_saldo_var42","f_diff_imp_op_var41_efect_comer_ult1","ind_var30","var38_ratio","imp_var43_emit_ult1","new_ind_sum","new_num_var5_0","0.838227","0.838777","0.816595","0.821177","0.831517","0.825534","0.835206","0.823289","0.811221","0.844578"
"new_num_var5_0","ind_var5","f_diff_num_var22_ult3_num_med_var45_ult3","num_var45_ult1","num_var30","f_diff_saldo_var5_saldo_medio_var5_hace3","new_ind_group5_sum","f_diff_var_15_var_36_less_60","max.saldo","imp_op_var39_comer_ult3","saldo_medio_var5_ult3","abs_f_ratio_num_var30_saldo_var30","sald0_quantile_diff_2","saldo_var30","abs_f_diff_saldo_medio_var5_hace2_saldo_medio_var5_ult1","var38_ratio","new_num_group5_prcnt","f_diff_var_15_var_36_rank","0.838976","0.807599","0.837595","0.82558","0.836807","0.825066","0.808769","0.823293","0.831271","0.843046"
"imp_op_var41_ult1","num_var42","ind_var30","new_num_group5_prcnt","f_num_3_sum_num","num_var45_ult1","new_ind_group5_sum","f_diff_saldo_var5_saldo_medio_var5_hace3","var15_ratio","f_diff_var_15_var_38","f_diff_var_15_var_36_cutpoint_smaller","f_ratio_num_var42_saldo_var42","n0","var36","f_diff_saldo_medio_var5_8_ult11","new_ftr_ult1_ult3_ratio_saldo_medio_var5","saldo_var30","abs_f_diff_saldo_var5_30","0.837863","0.834292","0.817431","0.821766","0.824937","0.82825","0.836601","0.823834","0.831733","0.844933"
"num_of_used","n0","f_diff_saldo_var5_saldo_medio_var5_hace2","new_ind_sum","f_diff_saldo_medio_var5_hace2_saldo_medio_var5_ult1","num_var45_hace3","nonzerocount.num","var15","imp_trans_var37_ult1","ind_var5","f_diff_num_var30_4","abs_f_diff_num_var22_ult3_num_med_var45_ult3","new_num_prcnt","saldo_medio_var5_hace3","f_diff_var_15_var_36_cutpoint_smaller","saldo_var30","f_num_3_sum_num","new_ftr_ult1_ult3_ratio_num_var45","0.823871","0.831131","0.829715","0.807028","0.825183","0.820324","0.818943","0.818683","0.82151","0.834557"
"var15_ratio","num_var22_hace3","num_var42","num_var4","new_ftr_ult1_ult3_ratio_saldo_medio_var5","num_var22_ult1","num_quantile_diff_3","nonzerocount.saldo","var15","new_num_group5_prcnt","num_quantile_diff_1","f_ratio_num_var42_saldo_var42","f_diff_saldo_medio_var5_hace2_saldo_medio_var5_ult1","var38_ratio","num_meses_var5_ult3","saldo_var42","var38","saldo_var37","0.818436","0.822063","0.836571","0.826666","0.833639","0.828919","0.836991","0.805281","0.831879","0.827603"
"n0","f_diff_var_15_var_36_less_60","num_of_used","ind_var30","num_var35","abs_f_diff_saldo_var5_saldo_medio_var5_ult1","num_var22_ult1","f_diff_var_15_var_36_cutpoint_smaller","var15","num_var4","num_quantile_diff_3","f_diff_num_var30_4","f_num_non_zero_sum_ind","f_num_quan_70_sum_saldo","saldo_medio_var5_hace3","saldo_medio_var5_hace2","abs_f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","abs_f_diff_saldo_var5_saldo_medio_var5_hace2","0.831152","0.808309","0.824519","0.810975","0.815283","0.817784","0.826701","0.81484","0.808423","0.836404"
"saldo_var30","f_diff_var_15_var_36_rank","num_var22_ult1","nonzerocount.saldo","saldo_var42","var38","sald0_quantile_diff_1","abs_f_diff_saldo_medio_var5_hace2_saldo_medio_var5_ult1","imp_op_var41_ult1","abs_f_diff_saldo_var5_42","abs_f_diff_saldo_var5_saldo_medio_var5_ult1","new_num_prcnt","var15_ratio","num_of_used","num_quantile_diff_3","f_diff_var_15_var_38","f_diff_var_15_var_36_less_60","abs_f_ratio_num_var30_saldo_var30","0.834516","0.828715","0.837982","0.82084","0.834961","0.830254","0.835858","0.819386","0.833524","0.84503"
"saldo_medio_var5_ult3","num_var45_ult3","abs_f_diff_saldo_var5_30","new_ind_sum","f_diff_num_var30_4","num_quantile_diff_1","ind_comb_rank","ind_var30","num_var22_hace2","imp_op_var41_ult1","new_ftr_ult1_ult3_ratio_saldo_medio_var5","f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","var15_ratio","imp_var43_emit_ult1","f_diff_saldo_medio_var5_hace2_saldo_medio_var5_ult1","abs_f_ratio_num_var5_saldo_var5","num_var45_ult1","new_num_prcnt","0.819975","0.830638","0.827831","0.805829","0.827695","0.821078","0.810407","0.815446","0.82512","0.831473"
"new_ind_sum","num_of_used","sald0_quantile_diff_2","abs_f_diff_saldo_medio_var5_8_ult11","imp_trans_var37_ult1","new_ind_var5_0","num_var5","abs_f_ratio_num_var30_saldo_var30","ind_var30","f_diff_var_15_var_36_less_60","num_meses_var5_ult3","abs_f_diff_num_var22_ult3_num_med_var45_ult3","var38_ratio","new_ftr_ult1_ult3_ratio_saldo_medio_var5","f_diff_saldo_var5_saldo_medio_var5_hace2","f_diff_var_15_var_36_cutpoint_smaller","f_diff_var_15_larger","abs_f_diff_saldo_var5_saldo_medio_var5_hace2","0.821795","0.818284","0.812862","0.805451","0.828209","0.802062","0.820125","0.803555","0.809979","0.822305"
"num_meses_var5_ult3","imp_ent_var16_ult1","nonzerocount.num","f_num_non_zero_sum_ind","new_num_var5_0","f_diff_var_15_var_36_rank","var15_ratio","abs_f_diff_saldo_medio_var5_8_ult11","var38","num_var22_ult3","abs_f_diff_saldo_var5_30","ind_comb_rank","ind_var30","f_diff_saldo_var5_saldo_medio_var5_hace3","saldo_medio_var5_hace3","num_var42","abs_f_diff_saldo_medio_var5_ult13","abs_f_ratio_num_var30_saldo_var30","0.832961","0.829962","0.837236","0.823555","0.822866","0.828368","0.836643","0.82287","0.830389","0.846437"
"abs_f_ratio_num_var30_saldo_var30","f_diff_var_15_var_36_less_60","imp_op_var39_ult1","saldo_medio_var5_ult1","sald0_quantile_diff_1","var36","num_med_var45_ult3","var15_ratio","var15","abs_f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","abs_f_diff_num_var22_ult3_num_med_var45_ult3","f_diff_var_15_var_36_rank","num_meses_var39_vig_ult3","imp_trans_var37_ult1","new_ind_var5_0","saldo_medio_var5_ult3","num_var22_ult3","saldo_var30","0.830185","0.830623","0.821179","0.814836","0.818504","0.808703","0.815699","0.817785","0.828678","0.829172"
"new_ind_var30_0","saldo_medio_var5_ult1","saldo_var42","num_var45_ult3","f_diff_var_15_var_36_less_60","nonzerocount.saldo","new_ftr_ult1_ult3_ratio_num_var22","var15_ratio","f_diff_num_var30_4","imp_op_var41_efect_ult1","abs_f_diff_saldo_medio_var5_ult13","abs_f_diff_num_var30_4","abs_f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","new_ind_sum","var15","abs_f_diff_saldo_medio_var5_hace2_saldo_medio_var5_ult1","f_diff_num_var45_ult13","saldo_medio_var5_ult3","0.825896","0.817868","0.816073","0.805733","0.82729","0.808705","0.829595","0.802377","0.811289","0.837748"
"f_diff_var_15_var_36_less_60","f_diff_var_15_var_38","f_diff_saldo_medio_var5_hace2_saldo_medio_var5_ult1","abs_f_diff_saldo_var5_saldo_medio_var5_ult1","num_var35","new_num_var30_0","f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","sald0_quantile_diff_2","f_diff_imp_op_var41_efect_comer_ult1","nonzerocount.saldo","saldo_var5","f_diff_var_15_var_36_cutpoint_smaller","num_var45_ult1","f_diff_saldo_medio_var5_8_ult11","num_var30","ind_var30","var38_ratio","max.saldo","0.82992","0.833516","0.806718","0.801642","0.82968","0.806868","0.826727","0.81551","0.82231","0.836088"
"abs_f_ratio_num_var30_saldo_var30","abs_f_diff_num_var30_4","abs_f_diff_saldo_var5_30","f_diff_var_15_var_36_rank","f_ratio_num_var42_saldo_var42","f_diff_var_15_var_38","var36","f_diff_var_15_var_36_less_60","num_of_used","num_quantile_diff_1","f_diff_var_15_var_36_cutpoint_smaller","saldo_var5","ind_comb_rank","num_var42","num_meses_var39_vig_ult3","new_num_prcnt","f_diff_saldo_var5_saldo_medio_var5_ult1","num_var30","0.82616","0.809591","0.832904","0.821541","0.823813","0.824167","0.831146","0.819742","0.82651","0.81695"
"var15_ratio","new_ind_sum","abs_f_diff_saldo_var5_saldo_medio_var5_hace3","num_quantile_diff_1","nonzerocount.num","saldo_var42","new_ftr_ult1_ult3_ratio_saldo_medio_var5","n0","num_var45_ult3","abs_f_diff_num_var22_ult3_num_med_var45_ult3","max.saldo","saldo_var30","f_diff_saldo_var5_saldo_medio_var5_hace3","var38","sald0_quantile_diff_2","num_quantile_diff_3","saldo_var5","var38_ratio","0.839438","0.825442","0.833759","0.812633","0.834417","0.811536","0.834299","0.810352","0.832094","0.833531"
"num_meses_var39_vig_ult3","f_diff_var_15_larger","abs_f_ratio_num_var5_saldo_var5","num_var5","imp_op_var41_ult1","saldo_medio_var5_ult3","saldo_medio_var5_hace3","new_num_sum","saldo_medio_var5_hace2","saldo_medio_var5_ult1","max.saldo","abs_f_ratio_num_var30_saldo_var30","f_diff_num_var45_ult13","var15_ratio","new_num_group5_prcnt","abs_f_diff_saldo_var5_saldo_medio_var5_ult1","nonzerocount.num","abs_f_diff_saldo_var5_saldo_medio_var5_hace3","0.82317","0.827414","0.824419","0.814235","0.820317","0.822095","0.816634","0.814311","0.821552","0.824734"
"f_num_non_zero_sum_ind","saldo_medio_var8_ult1","new_ind_sum","saldo_medio_var5_ult1","var15_ratio","f_num_quan_70_sum_saldo","imp_op_var41_ult1","new_ftr_ult1_ult3_ratio_num_var45","f_diff_saldo_var5_saldo_medio_var5_ult1","ind_comb_rank","num_var30","var36","var38_ratio","var38","f_diff_num_var22_ult3_num_med_var45_ult3","num_var4","new_num_group5_sum","new_num_sum","0.827903","0.821243","0.818874","0.816367","0.818053","0.805005","0.834927","0.826652","0.818739","0.848097"
