"f1","f2","f3","f4","f5","f6","f7","f8","f9","f10","f11","f12","f13","f14","f15","f16","f17","f18","f19","f20","auc1","auc2","auc3","auc4","auc5","auc6","auc7","auc8","auc9","auc10"
"abs_f_diff_saldo_medio_var5_ult13","num_var30","saldo_medio_var5_hace2","f_diff_imp_op_var41_comer_ult13","f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","f_diff_var_15_larger","ind_comb_rank","new_ind_group5_sum","abs_f_diff_saldo_var5_saldo_medio_var5_hace3","f_diff_num_var30_4","imp_op_var41_efect_ult1","num_meses_var39_vig_ult3","new_num_group5_prcnt","new_num_var30_0","imp_op_var39_comer_ult1","abs_f_diff_imp_op_var41_efect_comer_ult1","ind_var30","f_diff_var_15_var_36_rank","saldo_var30","saldo_medio_var5_ult1","0.820855","0.817384","0.820213","0.804759","0.811557","0.803999","0.826687","0.801525","0.814412","0.825925"
"f_diff_saldo_var5_saldo_medio_var5_hace2","f_diff_var_15_var_36_cutpoint_smaller","num_med_var45_ult3","num_of_used","saldo_var30","var38","num_var4","saldo_var5","abs_f_diff_num_var30_4","saldo_medio_var5_ult3","sald0_quantile_diff_1","imp_op_var39_comer_ult1","num_var35","var15","saldo_var8","abs_f_diff_saldo_var5_saldo_medio_var5_hace3","max.saldo","new_ind_group5_sum","abs_f_diff_saldo_medio_var5_8_ult11","abs_f_diff_saldo_var5_42","0.838933","0.841202","0.835607","0.813121","0.81735","0.82606","0.836307","0.810038","0.83123","0.845184"
"new_num_sum","new_ind_sum","abs_f_diff_saldo_var5_saldo_medio_var5_ult1","f_diff_saldo_var5_saldo_medio_var5_hace3","saldo_medio_var5_hace2","abs_f_diff_saldo_var5_saldo_medio_var5_hace2","new_ind_var5_0","ind_comb_rank","num_var22_ult3","new_num_prcnt","f_num_quan_70_sum_imp","ind_var30","nonzerocount.saldo","var15","new_num_var8_0","new_ind_group5_sum","f_diff_var_15_larger","imp_op_var41_comer_ult1","abs_f_diff_saldo_var5_42","var38","0.828155","0.823236","0.810757","0.825553","0.83472","0.829008","0.837385","0.822277","0.81643","0.846712"
"f_diff_num_var45_ult13","new_num_prcnt","num_meses_var39_vig_ult3","f_diff_num_var30_4","var38","f_num_quan_70_sum_saldo","num_var35","num_quantile_diff_3","n0","new_num_var30_0","num_var30","num_var45_ult3","var15","sald0_quantile_diff_2","abs_f_diff_saldo_medio_var5_hace2_saldo_medio_var5_ult1","var15_ratio","f_ratio_num_var42_saldo_var42","nonzerocount.num","f_diff_saldo_medio_var5_ult13","abs_f_ratio_num_var5_saldo_var5","0.83962","0.83961","0.817658","0.806798","0.835556","0.828629","0.835639","0.821848","0.811843","0.846144"
"abs_f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","saldo_var5","new_ind_var30_0","new_num_sum","saldo_var30","ind_comb_rank","new_num_var30_0","abs_f_diff_saldo_medio_var5_ult13","ind_var30","new_ind_sum","f_diff_num_var22_ult3_num_med_var45_ult3","nonzerocount.saldo","num_var5","var38_ratio","saldo_medio_var5_ult1","saldo_medio_var5_hace3","new_ftr_ult1_ult3_ratio_saldo_medio_var5","var15_ratio","abs_f_diff_saldo_medio_var5_hace2_saldo_medio_var5_ult1","f_diff_saldo_medio_var5_hace2_saldo_medio_var5_ult1","0.834897","0.833235","0.826008","0.81349","0.83433","0.816485","0.83598","0.811795","0.830025","0.838546"
"f_num_non_zero_sum_ind","new_num_var5_0","new_ind_group5_sum","num_var30","new_ind_0_group5_sum","num_var45_ult1","ind_var5","f_diff_saldo_var5_saldo_medio_var5_hace3","abs_f_diff_imp_op_var41_efect_comer_ult1","imp_ent_var16_ult1","f_diff_var_15_var_38","num_med_var45_ult3","abs_f_diff_saldo_var5_saldo_medio_var5_hace3","ind_comb_rank","saldo_var30","saldo_var42","f_diff_imp_op_var41_efect_comer_ult1","var15","abs_f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","f_diff_var_15_var_36_cutpoint_smaller","0.839026","0.841301","0.821516","0.812469","0.818864","0.815375","0.834805","0.824143","0.831518","0.840731"
"saldo_medio_var5_hace2","abs_f_ratio_num_var30_saldo_var30","f_diff_var_15_var_36_cutpoint_smaller","nonzerocount.num","f_diff_var_15_var_36_less_60","new_ftr_ult1_ult3_ratio_num_var45","saldo_medio_var5_ult1","new_num_var5_0","var38_ratio","f_diff_var_15_var_36_rank","new_num_group5_prcnt","f_diff_saldo_var5_saldo_medio_var5_hace3","ind_comb_rank","abs_f_diff_num_var22_ult3_num_med_var45_ult3","abs_f_ratio_num_var5_saldo_var5","f_diff_var_15_var_38","abs_f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","abs_f_diff_num_var30_4","abs_f_diff_imp_op_var41_efect_comer_ult1","abs_f_diff_saldo_var5_saldo_medio_var5_hace3","0.821517","0.826862","0.837916","0.811338","0.827374","0.826053","0.802703","0.8262","0.829907","0.831716"
"new_ftr_ult1_ult3_ratio_num_var22","f_diff_saldo_medio_var5_ult13","saldo_var42","new_ind_0_group5_sum","f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","num_med_var45_ult3","abs_f_ratio_num_var5_saldo_var5","f_diff_var_15_var_36_cutpoint_smaller","saldo_var30","num_meses_var39_vig_ult3","new_ind_var30_0","new_ftr_ult1_ult3_ratio_num_var45","f_diff_var_15_larger","f_diff_saldo_var5_saldo_medio_var5_ult1","new_ftr_ult1_ult3_ratio_saldo_medio_var5","var36","f_ratio_num_var42_saldo_var42","var15_ratio","f_diff_saldo_medio_var5_8_ult11","ind_var30","0.827231","0.823264","0.822855","0.806155","0.818263","0.805923","0.813337","0.801584","0.827096","0.827459"
"f_num_non_zero_sum_ind","saldo_var8","var38_ratio","n0","abs_f_diff_saldo_var5_saldo_medio_var5_hace2","new_ind_sum","f_num_quan_70_sum_saldo","num_of_used","f_ratio_num_var42_saldo_var42","saldo_var42","var15","saldo_var30","new_num_prcnt","f_diff_saldo_medio_var5_hace2_saldo_medio_var5_ult1","num_var4","f_diff_saldo_var5_saldo_medio_var5_hace3","nonzerocount.num","new_num_group5_sum","new_num_group5_prcnt","new_ind_0_group5_sum","0.833191","0.831673","0.83596","0.816499","0.83669","0.82746","0.83779","0.82576","0.823965","0.835256"
"f_diff_num_var30_4","ind_var30","num_var45_ult1","f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","var15_ratio","f_diff_var_15_var_38","f_diff_saldo_var5_saldo_medio_var5_hace3","new_num_group5_prcnt","f_num_non_zero_sum_ind","max.saldo","saldo_var5","saldo_var42","saldo_medio_var5_hace3","abs_f_diff_saldo_medio_var5_8_ult11","num_quantile_diff_3","num_var5","f_diff_num_var45_ult13","num_var35","abs_f_ratio_num_var30_saldo_var30","saldo_medio_var5_ult3","0.83398","0.8382","0.835628","0.817193","0.834653","0.827749","0.821257","0.822222","0.82156","0.844648"
