"f1","f2","f3","f4","f5","f6","f7","f8","f9","f10","f11","f12","f13","f14","f15","f16","f17","f18","f19","f20","auc1","auc2","auc3","auc4","auc5","auc6","auc7","auc8","auc9","auc10"
"ind_var30","num_var45_ult3","imp_op_var41_efect_ult1","f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","abs_f_diff_num_var30_4","abs_f_diff_saldo_medio_var5_ult13","f_diff_saldo_var5_saldo_medio_var5_hace3","f_diff_var_15_larger","new_num_group5_sum","var36","sald0_quantile_diff_2","saldo_medio_var5_ult1","f_diff_var_15_var_36_less_60","f_diff_var_15_var_36_cutpoint_smaller","num_var45_hace3","var38","abs_f_ratio_num_var30_saldo_var30","f_ratio_num_var42_saldo_var42","num_var4","num_var22_ult1","0.834781","0.822971","0.828949","0.811057","0.834194","0.824046","0.830737","0.805052","0.802319","0.839265"
"f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","saldo_var42","sald0_quantile_diff_1","saldo_var5","new_num_group5_prcnt","f_diff_var_15_var_36_cutpoint_smaller","abs_f_ratio_num_var30_saldo_var30","f_diff_var_15_larger","abs_f_diff_saldo_medio_var5_8_ult11","nonzerocount.saldo","var15","abs_f_diff_saldo_medio_var5_hace2_saldo_medio_var5_ult1","num_var35","f_diff_saldo_var5_saldo_medio_var5_hace3","f_num_quan_70_sum_saldo","f_diff_num_var22_ult3_num_med_var45_ult3","new_num_var5_0","abs_f_diff_saldo_var5_30","f_diff_var_15_var_38","f_ratio_num_var42_saldo_var42","0.838962","0.816501","0.832183","0.808644","0.835402","0.828566","0.836237","0.824241","0.811772","0.844791"
"new_num_group5_prcnt","num_var30","nonzerocount.num","num_of_used","f_diff_saldo_var5_saldo_medio_var5_hace3","abs_f_diff_num_var30_4","num_var45_ult1","abs_f_diff_saldo_medio_var5_ult13","f_diff_var_15_var_36_rank","saldo_medio_var5_ult3","var15","ind_comb_rank","f_diff_imp_op_var41_efect_comer_ult1","new_ind_0_group5_sum","new_ind_group5_sum","f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","num_var42","max.saldo","f_num_non_zero_sum_ind","f_diff_saldo_medio_var5_ult13","0.833373","0.820143","0.81473","0.808327","0.828794","0.80257","0.829667","0.816976","0.821755","0.829988"
"f_diff_var_15_var_36_cutpoint_smaller","max.saldo","abs_f_ratio_num_var5_saldo_var5","new_num_var5_0","f_num_3_sum_num","imp_op_var41_ult1","var38","new_ind_var30_0","var15","abs_f_diff_saldo_var5_saldo_medio_var5_hace3","new_num_prcnt","f_diff_var_15_var_36_less_60","new_num_group5_prcnt","var15_ratio","abs_f_ratio_num_var30_saldo_var30","saldo_medio_var8_ult1","f_diff_saldo_medio_var5_8_ult11","saldo_var8","num_var42","abs_f_diff_saldo_var5_30","0.836836","0.840278","0.83366","0.807521","0.834696","0.825802","0.833099","0.810701","0.829903","0.844646"
"sald0_quantile_diff_3","new_num_sum","var36","imp_op_var39_ult1","f_diff_var_15_var_38","num_med_var45_ult3","f_num_3_sum_num","num_var45_hace3","max.saldo","saldo_var30","saldo_medio_var5_hace2","var15_ratio","new_num_prcnt","new_ind_group5_sum","nonzerocount.saldo","abs_f_ratio_num_var30_saldo_var30","abs_f_ratio_num_var5_saldo_var5","f_diff_var_15_var_36_less_60","f_diff_var_15_var_36_cutpoint_smaller","abs_f_diff_saldo_var5_saldo_medio_var5_hace3","0.838321","0.840156","0.819876","0.823856","0.835212","0.828115","0.836706","0.823233","0.833567","0.830989"
"imp_op_var41_ult1","var36","max.saldo","f_diff_var_15_var_36_cutpoint_smaller","abs_f_diff_saldo_medio_var5_8_ult11","new_num_var30_0","abs_f_diff_saldo_medio_var5_ult13","f_diff_num_var45_ult13","var38_ratio","num_var45_hace3","var38","f_diff_num_var22_ult3_num_med_var45_ult3","abs_f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","saldo_medio_var5_ult1","new_ind_var30_0","var15","num_var45_ult3","f_diff_saldo_var5_saldo_medio_var5_hace2","new_ind_0_group5_sum","f_num_quan_70_sum_saldo","0.842086","0.841836","0.838621","0.827641","0.834818","0.812106","0.838206","0.804304","0.837374","0.823072"
"nonzerocount.num","var15_ratio","f_num_3_sum_num","num_var5","f_diff_saldo_var5_saldo_medio_var5_hace3","var38","saldo_var8","new_num_prcnt","num_med_var45_ult3","new_ind_var30_0","new_ftr_ult1_ult3_ratio_num_var22","num_var22_hace2","f_diff_saldo_medio_var5_8_ult11","saldo_medio_var5_ult1","saldo_var42","num_var45_ult1","num_med_var22_ult3","num_var42","var15","abs_f_diff_saldo_var5_30","0.84115","0.814842","0.820612","0.825155","0.835755","0.830029","0.838","0.826031","0.814177","0.847678"
"num_var30","saldo_var42","f_diff_var_15_var_36_cutpoint_smaller","new_ftr_ult1_ult3_ratio_num_var45","new_num_group5_prcnt","f_ratio_num_var42_saldo_var42","num_meses_var5_ult3","var15","abs_f_ratio_num_var30_saldo_var30","f_diff_saldo_var5_saldo_medio_var5_hace3","f_diff_saldo_var5_saldo_medio_var5_hace2","f_diff_num_var30_4","num_var45_hace2","f_num_3_sum_num","saldo_var30","new_ind_var30_0","abs_f_diff_num_var22_ult3_num_med_var45_ult3","var38","ind_var5","f_num_non_zero_sum_ind","0.840429","0.82301","0.836934","0.821166","0.823089","0.811553","0.835491","0.824349","0.824488","0.833721"
"abs_f_diff_saldo_var5_30","sald0_quantile_diff_1","var15_ratio","ind_var30","var38","f_diff_var_15_var_36_cutpoint_smaller","num_quantile_diff_3","f_diff_var_15_var_36_rank","new_num_group5_sum","num_var22_hace3","abs_f_diff_saldo_var5_saldo_medio_var5_hace2","abs_f_diff_num_var30_4","new_ind_sum","num_var45_hace2","abs_f_diff_saldo_medio_var5_ult13","new_ftr_ult1_ult3_ratio_num_var45","abs_f_diff_saldo_medio_var5_8_ult11","num_var35","abs_f_diff_saldo_var5_saldo_medio_var5_hace3","ind_comb_rank","0.816628","0.837391","0.832299","0.80041","0.816148","0.805111","0.809878","0.820637","0.828316","0.843966"
"imp_trans_var37_ult1","num_var45_ult1","num_of_used","abs_f_diff_imp_op_var41_efect_comer_ult1","num_var45_hace2","max.saldo","abs_f_diff_num_var30_4","saldo_medio_var5_ult3","var15","num_var30","f_num_quan_70_sum_saldo","abs_f_ratio_num_var30_saldo_var30","abs_f_diff_saldo_var5_saldo_medio_var5_hace3","abs_f_diff_saldo_medio_var5_hace2_saldo_medio_var5_ult1","n0","abs_f_ratio_num_var5_saldo_var5","new_num_prcnt","saldo_var5","saldo_medio_var8_ult1","new_ind_var5_0","0.82268","0.826265","0.824107","0.806353","0.811401","0.82094","0.827651","0.816698","0.822954","0.827178"
"max.saldo","abs_f_diff_saldo_medio_var5_hace2_saldo_medio_var5_ult1","nonzerocount.saldo","abs_f_diff_saldo_var5_saldo_medio_var5_hace3","f_diff_var_15_var_36_rank","saldo_medio_var5_hace3","f_diff_num_var30_4","abs_f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","f_diff_saldo_var5_saldo_medio_var5_hace3","var15","f_diff_imp_op_var41_efect_comer_ult1","f_diff_saldo_var5_saldo_medio_var5_ult1","num_var45_ult3","imp_op_var41_comer_ult1","f_diff_var_15_var_36_cutpoint_smaller","f_diff_var_15_var_38","f_diff_saldo_var5_saldo_medio_var5_hace2","sald0_quantile_diff_2","abs_f_diff_saldo_var5_30","num_of_used","0.837476","0.840689","0.811239","0.817851","0.822876","0.828205","0.835226","0.822524","0.804007","0.823456"
"new_num_sum","num_var45_ult1","abs_f_ratio_num_var30_saldo_var30","abs_f_diff_saldo_var5_saldo_medio_var5_hace2","abs_f_diff_saldo_medio_var5_8_ult11","num_meses_var39_vig_ult3","saldo_var42","f_diff_saldo_medio_var5_8_ult11","abs_f_diff_saldo_var5_saldo_medio_var5_hace3","abs_f_diff_saldo_medio_var5_ult13","f_diff_var_15_var_36_rank","imp_op_var39_comer_ult3","f_diff_var_15_larger","f_diff_var_15_var_36_less_60","new_ftr_ult1_ult3_ratio_num_var22","imp_op_var39_ult1","var15","f_ratio_num_var42_saldo_var42","new_ftr_ult1_ult3_ratio_saldo_medio_var5","new_ind_sum","0.825634","0.825489","0.821814","0.811616","0.8192","0.820674","0.819988","0.813587","0.819073","0.832981"
"saldo_medio_var5_hace3","saldo_var42","abs_f_diff_saldo_medio_var5_hace2_saldo_medio_var5_ult1","f_num_non_zero_sum_ind","ind_comb_rank","num_var45_ult1","imp_op_var39_ult1","sald0_quantile_diff_2","sald0_quantile_diff_3","var38","abs_f_diff_saldo_medio_var5_8_ult11","ind_var5","saldo_var5","ind_var30","f_diff_saldo_medio_var5_ult13","new_num_prcnt","var38_ratio","var15","abs_f_diff_saldo_var5_saldo_medio_var5_hace2","abs_f_diff_num_var22_ult3_num_med_var45_ult3","0.837275","0.842766","0.837142","0.816094","0.834996","0.827694","0.836032","0.825579","0.832246","0.845053"
"abs_f_ratio_num_var5_saldo_var5","abs_f_diff_saldo_var5_saldo_medio_var5_hace2","num_meses_var39_vig_ult3","saldo_var30","imp_ent_var16_ult1","abs_f_diff_num_var30_4","nonzerocount.saldo","num_of_used","f_diff_var_15_var_36_cutpoint_smaller","new_num_sum","saldo_var42","new_num_var30_0","var36","f_diff_saldo_var5_saldo_medio_var5_ult1","saldo_medio_var5_hace3","f_num_non_zero_sum_ind","abs_f_diff_saldo_var5_30","f_diff_saldo_medio_var5_8_ult11","var15_ratio","nonzerocount.num","0.823063","0.818367","0.821959","0.81223","0.816857","0.810195","0.827591","0.802151","0.826529","0.820301"
"abs_f_diff_saldo_medio_var5_8_ult11","nonzerocount.num","abs_f_ratio_num_var5_saldo_var5","saldo_var30","saldo_var5","num_var4","new_num_group5_prcnt","num_of_used","new_num_prcnt","var15_ratio","new_ftr_ult1_ult3_ratio_num_var45","f_ratio_num_var42_saldo_var42","f_diff_var_15_var_38","num_var22_hace3","f_diff_saldo_medio_var5_8_ult11","f_diff_var_15_var_36_less_60","f_num_quan_70_sum_saldo","f_diff_num_var22_ult3_num_med_var45_ult3","saldo_var37","num_var22_ult1","0.835326","0.827572","0.827605","0.824964","0.837499","0.829505","0.83832","0.809053","0.832906","0.835442"
"new_num_sum","saldo_medio_var5_ult1","saldo_var30","abs_f_diff_saldo_medio_var5_ult13","ind_var5","abs_f_ratio_num_var30_saldo_var30","var15_ratio","max.saldo","f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","saldo_var5","f_diff_var_15_var_38","new_num_group5_prcnt","new_ftr_ult1_ult3_ratio_imp_op_var39_comer","new_ftr_ult1_ult3_ratio_num_var45","f_diff_var_15_larger","n0","num_med_var22_ult3","abs_f_diff_saldo_var5_42","abs_f_diff_saldo_var5_saldo_medio_var5_hace2","f_diff_saldo_medio_var5_hace2_saldo_medio_var5_ult1","0.826162","0.827408","0.835021","0.803385","0.835718","0.828489","0.836038","0.825791","0.830788","0.833142"
"num_var4","var15","new_num_group5_sum","f_diff_saldo_var5_saldo_medio_var5_hace2","num_var45_hace3","n0","saldo_var30","saldo_var5","f_diff_saldo_medio_var5_ult13","num_var30","saldo_var42","abs_f_diff_num_var30_4","new_ind_var30_0","num_var35","abs_f_diff_saldo_medio_var5_8_ult11","f_diff_saldo_medio_var5_hace2_saldo_medio_var5_ult1","abs_f_diff_saldo_var5_saldo_medio_var5_hace2","saldo_medio_var5_hace3","new_num_group5_prcnt","f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","0.830829","0.828609","0.821972","0.808018","0.820371","0.810184","0.819371","0.801936","0.820964","0.832117"
"saldo_medio_var5_hace2","imp_trans_var37_ult1","ind_var30","var38","f_num_quan_70_sum_saldo","f_diff_saldo_var5_saldo_medio_var5_hace3","new_num_var30_0","nonzerocount.saldo","num_var45_ult1","abs_f_ratio_num_var30_saldo_var30","num_var45_hace2","abs_f_diff_num_var30_4","f_diff_var_15_var_38","f_diff_saldo_medio_var5_8_ult11","num_var45_hace3","abs_f_diff_saldo_medio_var5_8_ult11","num_var42","num_of_used","var15_ratio","f_diff_var_15_var_36_rank","0.839973","0.828517","0.836084","0.808589","0.823312","0.829301","0.836672","0.808048","0.830555","0.834858"
"saldo_medio_var5_hace2","f_diff_var_15_var_38","num_var45_ult3","saldo_medio_var5_ult1","imp_op_var41_comer_ult1","imp_ent_var16_ult1","abs_f_diff_saldo_medio_var5_8_ult11","f_diff_saldo_var5_saldo_medio_var5_hace3","var38","num_var5","f_num_quan_70_sum_saldo","var38_ratio","abs_f_diff_num_var30_4","abs_f_ratio_num_var5_saldo_var5","abs_f_diff_saldo_medio_var5_ult13","saldo_medio_var5_hace3","var15","f_diff_imp_op_var41_efect_comer_ult1","new_ind_0_group5_sum","num_quantile_diff_1","0.823821","0.826136","0.837062","0.817637","0.834455","0.829047","0.836996","0.822905","0.82012","0.839207"
"saldo_medio_var5_hace3","f_diff_var_15_var_36_rank","sald0_quantile_diff_1","saldo_medio_var5_ult3","num_meses_var5_ult3","f_diff_var_15_larger","f_diff_imp_op_var41_efect_comer_ult1","var36","f_diff_var_15_var_36_cutpoint_smaller","abs_f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","new_num_prcnt","abs_f_diff_saldo_var5_42","f_num_quan_70_sum_saldo","new_num_var30_0","f_ratio_num_var42_saldo_var42","f_num_3_sum_num","new_ind_0_group5_sum","new_ind_sum","f_diff_var_15_var_38","f_diff_num_var30_4","0.83713","0.800166","0.802869","0.821133","0.8146","0.825174","0.833249","0.804088","0.828604","0.843311"
"f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","abs_f_diff_saldo_medio_var5_hace2_saldo_medio_var5_ult1","var38_ratio","num_med_var22_ult3","saldo_medio_var5_ult1","f_diff_saldo_var5_saldo_medio_var5_hace3","f_diff_num_var45_ult13","f_diff_saldo_medio_var5_8_ult11","new_ftr_ult1_ult3_ratio_saldo_medio_var5","num_var22_ult3","saldo_var30","new_num_var30_0","saldo_medio_var5_hace3","f_diff_var_15_var_36_rank","f_diff_var_15_var_38","var15_ratio","f_diff_num_var22_ult3_num_med_var45_ult3","abs_f_diff_saldo_var5_saldo_medio_var5_hace2","saldo_medio_var5_hace2","abs_f_diff_num_var30_4","0.831201","0.840846","0.819031","0.814243","0.836733","0.832258","0.837697","0.810616","0.818301","0.839358"
"abs_f_diff_num_var22_ult3_num_med_var45_ult3","saldo_medio_var5_hace3","f_diff_saldo_medio_var5_ult13","saldo_var5","var15_ratio","abs_f_diff_num_var30_4","f_diff_var_15_var_36_less_60","f_diff_var_15_larger","num_var30","n0","var38_ratio","new_num_sum","imp_op_var39_ult1","var38","f_diff_saldo_medio_var5_8_ult11","saldo_var42","sald0_quantile_diff_1","saldo_medio_var8_ult1","saldo_medio_var5_ult1","new_ind_group5_sum","0.829459","0.840503","0.835221","0.823158","0.834548","0.807063","0.824658","0.801527","0.830872","0.82926"
"var15_ratio","saldo_medio_var5_ult3","ind_var5","f_diff_num_var22_ult3_num_med_var45_ult3","f_diff_var_15_var_36_rank","abs_f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","abs_f_diff_saldo_medio_var5_ult13","n0","f_num_non_zero_sum_ind","new_ind_var30_0","saldo_var30","new_ind_sum","new_num_var8_0","new_num_group5_prcnt","num_var45_ult1","abs_f_ratio_num_var5_saldo_var5","f_diff_num_var30_4","abs_f_diff_saldo_var5_saldo_medio_var5_ult1","max.saldo","f_num_3_sum_num","0.835343","0.824012","0.823427","0.810246","0.818461","0.813371","0.816327","0.811032","0.815333","0.831177"
"saldo_var30","imp_trans_var37_ult1","max.saldo","var38","imp_op_var39_comer_ult1","f_num_3_sum_num","nonzerocount.num","f_diff_var_15_var_38","num_var45_ult1","abs_f_diff_saldo_var5_saldo_medio_var5_hace3","saldo_medio_var5_ult3","f_num_quan_70_sum_saldo","f_diff_var_15_var_36_less_60","f_diff_num_var30_4","var15","new_ftr_ult1_ult3_ratio_num_var22","f_diff_imp_op_var41_efect_comer_ult1","f_diff_imp_op_var41_comer_ult13","num_meses_var5_ult3","abs_f_diff_saldo_medio_var5_8_ult11","0.833565","0.830631","0.837454","0.826528","0.831251","0.8284","0.840136","0.825332","0.832979","0.846067"
"abs_f_diff_imp_op_var41_efect_comer_ult1","new_ind_var30_0","num_var45_hace2","f_num_3_sum_num","saldo_var30","new_ftr_ult1_ult3_ratio_num_var22","ind_var5","saldo_medio_var5_hace2","new_num_group5_prcnt","var15","new_ind_group5_sum","f_diff_var_15_var_36_cutpoint_smaller","saldo_medio_var5_ult1","new_num_sum","abs_f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","sald0_quantile_diff_3","f_num_quan_70_sum_saldo","new_ind_var5_0","num_meses_var5_ult3","saldo_var42","0.835769","0.82981","0.82659","0.806805","0.827707","0.812603","0.81783","0.804872","0.827576","0.840167"
"new_num_group5_prcnt","var38","saldo_medio_var5_hace3","saldo_medio_var5_ult3","abs_f_diff_saldo_medio_var5_hace2_saldo_medio_var5_ult1","saldo_medio_var8_ult3","var15","f_diff_var_15_larger","abs_f_diff_saldo_var5_saldo_medio_var5_ult1","abs_f_diff_saldo_var5_saldo_medio_var5_hace2","num_meses_var5_ult3","new_num_group5_sum","f_ratio_num_var42_saldo_var42","imp_trans_var37_ult1","var38_ratio","ind_var5","num_var5","f_num_non_zero_sum_ind","num_var35","f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","0.835975","0.838367","0.811383","0.819716","0.832717","0.825487","0.834269","0.804854","0.8153","0.828249"
"ind_var30","var15","num_of_used","var38_ratio","abs_f_diff_saldo_medio_var5_hace2_saldo_medio_var5_ult1","num_var22_hace2","f_num_non_zero_sum_ind","f_diff_saldo_var5_saldo_medio_var5_ult1","abs_f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","saldo_var42","saldo_var30","f_diff_num_var30_4","f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","new_ind_var30_0","num_meses_var5_ult3","new_num_group5_prcnt","abs_f_diff_saldo_medio_var5_ult13","f_diff_var_15_larger","new_ind_group5_sum","max.saldo","0.839253","0.826722","0.828777","0.817298","0.823477","0.809957","0.836276","0.808318","0.830617","0.837993"
"nonzerocount.num","f_diff_num_var22_ult3_num_med_var45_ult3","num_var4","new_ind_sum","f_diff_num_var30_4","var36","num_med_var22_ult3","var38_ratio","new_num_group5_sum","var38","num_var5","f_diff_var_15_var_36_less_60","max.saldo","num_var45_hace2","abs_f_ratio_num_var30_saldo_var30","num_var35","var15","abs_f_diff_saldo_var5_saldo_medio_var5_ult1","f_diff_var_15_var_36_cutpoint_smaller","f_diff_saldo_medio_var5_8_ult11","0.826772","0.841745","0.816981","0.823569","0.820526","0.829667","0.837109","0.82465","0.833756","0.84675"
"var38","f_diff_saldo_medio_var5_ult13","num_var22_ult3","imp_trans_var37_ult1","new_num_var8_0","new_ind_group5_sum","num_var35","abs_f_diff_saldo_var5_saldo_medio_var5_hace3","f_ratio_num_var42_saldo_var42","max.saldo","f_diff_var_15_var_36_less_60","saldo_var5","new_ind_sum","f_diff_var_15_var_36_rank","abs_f_ratio_num_var5_saldo_var5","new_ind_0_group5_sum","f_diff_num_var45_ult13","new_ind_var5_0","new_num_group5_prcnt","saldo_medio_var5_hace2","0.840784","0.837852","0.836334","0.801032","0.836265","0.825231","0.834091","0.822049","0.830877","0.8428"
"abs_f_ratio_num_var30_saldo_var30","var15","num_var4","f_diff_var_15_var_36_rank","abs_f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","saldo_medio_var5_ult3","saldo_medio_var8_ult3","new_ind_0_group5_sum","saldo_medio_var5_hace2","imp_op_var39_efect_ult1","num_var35","num_meses_var5_ult3","num_meses_var39_vig_ult3","f_diff_num_var22_ult3_num_med_var45_ult3","sald0_quantile_diff_3","f_diff_saldo_var5_saldo_medio_var5_hace2","new_num_prcnt","abs_f_diff_saldo_var5_saldo_medio_var5_ult1","new_num_group5_prcnt","f_num_quan_70_sum_imp","0.826294","0.827212","0.827068","0.814967","0.826253","0.80658","0.821413","0.801626","0.822127","0.83393"
"var38_ratio","var15","abs_f_ratio_num_var30_saldo_var30","num_meses_var39_vig_ult3","nonzerocount.num","f_num_quan_70_sum_saldo","saldo_medio_var5_ult1","f_diff_num_var22_ult3_num_med_var45_ult3","max.saldo","abs_f_diff_saldo_var5_saldo_medio_var5_hace2","ind_var5","sald0_quantile_diff_1","abs_f_diff_saldo_medio_var5_8_ult11","abs_f_diff_saldo_var5_42","abs_f_diff_saldo_medio_var5_hace2_saldo_medio_var5_ult1","num_var22_ult1","new_num_group5_sum","f_ratio_num_var42_saldo_var42","ind_var30","f_num_non_zero_sum_ind","0.827136","0.824975","0.836345","0.825073","0.83848","0.811389","0.838382","0.819046","0.819988","0.832272"
"f_num_quan_70_sum_saldo","new_ftr_ult1_ult3_ratio_saldo_medio_var5","max.saldo","nonzerocount.saldo","n0","f_diff_var_15_larger","f_diff_num_var22_ult3_num_med_var45_ult3","new_num_prcnt","new_ind_sum","num_var4","abs_f_diff_saldo_var5_saldo_medio_var5_hace2","ind_comb_rank","abs_f_diff_num_var22_ult3_num_med_var45_ult3","f_diff_var_15_var_36_cutpoint_smaller","var38_ratio","var15_ratio","abs_f_diff_saldo_var5_42","f_diff_num_var45_ult13","num_quantile_diff_3","f_diff_saldo_medio_var5_8_ult11","0.843677","0.837404","0.832846","0.806125","0.813077","0.826767","0.836899","0.825174","0.83312","0.829733"
"abs_f_diff_saldo_medio_var5_8_ult11","imp_op_var41_efect_ult1","f_diff_saldo_var5_saldo_medio_var5_hace3","f_diff_var_15_larger","num_med_var22_ult3","saldo_medio_var5_hace2","n0","f_diff_var_15_var_36_rank","saldo_medio_var5_hace3","saldo_var42","nonzerocount.num","num_var30","abs_f_ratio_num_var30_saldo_var30","abs_f_diff_saldo_var5_saldo_medio_var5_hace3","imp_op_var39_comer_ult1","num_var45_hace3","nonzerocount.saldo","f_diff_saldo_medio_var5_8_ult11","f_diff_num_var22_ult3_num_med_var45_ult3","f_diff_saldo_var5_saldo_medio_var5_ult1","0.820702","0.83602","0.830433","0.806615","0.810011","0.822464","0.813993","0.803232","0.811788","0.826867"
"f_diff_var_15_var_36_rank","new_num_var5_0","imp_op_var39_efect_ult3","abs_f_diff_saldo_medio_var5_hace2_saldo_medio_var5_ult1","abs_f_diff_saldo_medio_var5_ult13","var15","f_diff_saldo_medio_var5_ult13","abs_f_diff_saldo_var5_saldo_medio_var5_hace3","f_diff_var_15_larger","f_diff_num_var30_4","abs_f_diff_num_var30_4","var38_ratio","abs_f_diff_imp_op_var41_efect_comer_ult1","ind_var5","num_med_var45_ult3","saldo_medio_var5_hace2","new_num_var30_0","saldo_medio_var5_ult3","abs_f_diff_saldo_var5_saldo_medio_var5_ult1","saldo_var30","0.827999","0.842552","0.838418","0.820805","0.838039","0.832156","0.840845","0.823982","0.828086","0.837266"
"f_diff_var_15_var_36_less_60","ind_var5","f_diff_var_15_var_36_rank","abs_f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","num_var45_ult1","new_num_group5_prcnt","abs_f_diff_num_var30_4","new_num_group5_sum","saldo_var42","max.saldo","abs_f_ratio_num_var5_saldo_var5","f_diff_saldo_var5_saldo_medio_var5_ult1","imp_op_var41_ult1","f_diff_saldo_medio_var5_8_ult11","abs_f_ratio_num_var30_saldo_var30","num_med_var22_ult3","saldo_medio_var5_ult1","new_num_var5_0","new_ind_0_group5_sum","num_meses_var5_ult3","0.824865","0.809405","0.814433","0.817896","0.821648","0.816296","0.812402","0.815133","0.812675","0.835541"
"new_num_sum","saldo_var8","num_meses_var39_vig_ult3","f_diff_saldo_medio_var5_8_ult11","f_num_quan_70_sum_saldo","f_ratio_num_var42_saldo_var42","abs_f_ratio_num_var30_saldo_var30","new_num_group5_prcnt","saldo_var42","f_diff_var_15_var_36_rank","nonzerocount.saldo","new_ftr_ult1_ult3_ratio_num_var45","new_num_var30_0","nonzerocount.num","imp_op_var41_efect_ult1","f_diff_var_15_larger","saldo_medio_var5_hace2","new_num_group5_sum","var15","var15_ratio","0.82121","0.826466","0.825789","0.815154","0.812465","0.816533","0.832218","0.815098","0.810686","0.832311"
"new_ind_var30_0","f_diff_saldo_medio_var5_hace2_saldo_medio_var5_ult1","num_of_used","ind_comb_rank","num_var22_ult3","f_diff_saldo_var5_saldo_medio_var5_hace2","var15_ratio","abs_f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","num_quantile_diff_1","nonzerocount.saldo","num_var35","f_diff_var_15_var_38","saldo_var5","f_diff_saldo_medio_var5_ult13","new_num_prcnt","f_diff_var_15_var_36_less_60","num_var22_hace2","abs_f_diff_saldo_var5_30","saldo_medio_var5_hace3","0.841969","0.841554","0.835537","0.824577","0.834795","0.831463","0.838533","0.824299","0.831343","0.834984"
"new_ftr_ult1_ult3_ratio_num_var45","ind_var5","abs_f_diff_saldo_medio_var5_8_ult11","abs_f_ratio_num_var5_saldo_var5","num_meses_var39_vig_ult3","new_num_group5_sum","f_diff_num_var22_ult3_num_med_var45_ult3","nonzerocount.saldo","num_of_used","saldo_var8","saldo_var42","f_diff_var_15_var_38","new_num_var30_0","var15_ratio","f_diff_var_15_var_36_rank","abs_f_diff_num_var22_ult3_num_med_var45_ult3","saldo_var30","abs_f_ratio_num_var30_saldo_var30","num_var22_hace3","imp_op_var39_comer_ult1","0.835508","0.841704","0.836966","0.818704","0.828679","0.813555","0.821258","0.824018","0.832527","0.847427"
"abs_f_diff_saldo_var5_30","imp_op_var41_efect_ult1","saldo_medio_var5_ult3","var38","saldo_var42","saldo_medio_var5_hace3","abs_f_diff_num_var30_4","f_diff_var_15_var_36_cutpoint_smaller","num_quantile_diff_1","num_var35","abs_f_diff_saldo_var5_42","saldo_var8","saldo_var30","var15_ratio","num_of_used","f_diff_num_var30_4","f_num_3_sum_num","imp_op_var39_ult1","f_diff_saldo_medio_var5_8_ult11","num_var5","0.839408","0.838709","0.836495","0.821464","0.820987","0.811534","0.835687","0.811849","0.830911","0.846509"
"abs_f_diff_saldo_var5_30","nonzerocount.saldo","num_meses_var5_ult3","abs_f_diff_saldo_var5_saldo_medio_var5_hace2","num_var22_ult1","saldo_var30","num_var42","var15_ratio","f_diff_saldo_var5_saldo_medio_var5_hace3","f_diff_saldo_var5_saldo_medio_var5_hace2","new_ind_group5_sum","abs_f_ratio_num_var5_saldo_var5","abs_f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","sald0_quantile_diff_3","saldo_var5","f_diff_num_var45_ult13","imp_op_var39_efect_ult3","num_var45_ult1","saldo_medio_var5_ult3","var15","0.825703","0.828011","0.830973","0.815164","0.816432","0.806997","0.816384","0.81804","0.825381","0.832384"
"var38","f_diff_var_15_var_38","saldo_var5","f_diff_var_15_var_36_rank","new_ind_var30_0","f_num_non_zero_sum_ind","abs_f_diff_saldo_var5_42","abs_f_diff_imp_op_var41_efect_comer_ult1","new_ind_0_group5_sum","f_diff_var_15_var_36_less_60","new_ind_var5_0","saldo_var37","abs_f_diff_num_var22_ult3_num_med_var45_ult3","ind_var30","ind_comb_rank","f_diff_saldo_medio_var5_hace2_saldo_medio_var5_ult1","f_diff_saldo_var5_saldo_medio_var5_hace3","abs_f_diff_saldo_var5_saldo_medio_var5_hace3","saldo_medio_var5_hace2","new_num_var30_0","0.838418","0.809458","0.834351","0.82371","0.836807","0.825831","0.832644","0.801282","0.829274","0.843671"
