"f1","f2","f3","f4","f5","f6","f7","f8","f9","f10","f11","f12","f13","f14","f15","f16","f17","f18","f19","auc1","auc2","auc3","auc4","auc5","auc6","auc7","auc8","auc9","auc10"
"sald0_quantile_diff_2","var38_ratio","f_num_quan_70_sum_saldo","saldo_var5","new_ind_group5_sum","f_diff_var_15_var_36_rank","ind_comb_rank","f_diff_saldo_medio_var5_ult13","new_num_var30_0","var38","f_diff_var_15_var_36_cutpoint_smaller","imp_op_var41_comer_ult1","num_quantile_diff_1","num_var4","new_num_group5_sum","var15_ratio","nonzerocount.num","imp_op_var39_ult1","new_ind_0_group5_sum","0.814466","0.84014","0.805119","0.80838","0.814205","0.807742","0.837079","0.804992","0.830634","0.823096"
"new_num_group5_prcnt","saldo_var8","saldo_var30","var38","f_diff_var_15_var_36_rank","var15_ratio","n0","new_ftr_ult1_ult3_ratio_saldo_medio_var5","sald0_quantile_diff_1","abs_f_ratio_num_var30_saldo_var30","abs_f_diff_saldo_var5_saldo_medio_var5_ult1","f_ratio_num_var42_saldo_var42","num_var35","abs_f_diff_saldo_var5_30","imp_op_var39_ult1","f_diff_var_15_var_38","f_diff_saldo_var5_saldo_medio_var5_ult1","num_var30","ind_var30","0.833759","0.829656","0.820528","0.807342","0.82547","0.821985","0.83518","0.824038","0.821843","0.839106"
"f_diff_var_15_var_36_rank","new_ftr_ult1_ult3_ratio_num_var22","num_of_used","nonzerocount.saldo","f_num_3_sum_num","var38_ratio","imp_op_var39_efect_ult3","f_diff_var_15_var_36_cutpoint_smaller","saldo_medio_var5_hace2","f_diff_imp_op_var41_comer_ult13","abs_f_ratio_num_var30_saldo_var30","num_var4","abs_f_diff_saldo_var5_42","num_quantile_diff_3","num_var42","new_ind_sum","f_num_non_zero_sum_ind","imp_var43_emit_ult1","new_num_group5_sum","0.838357","0.836818","0.838082","0.825976","0.835338","0.817586","0.837916","0.806611","0.832139","0.844906"
"f_diff_num_var22_ult3_num_med_var45_ult3","num_var42","saldo_medio_var5_ult1","f_diff_var_15_var_36_cutpoint_smaller","f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","f_diff_var_15_var_36_less_60","new_ind_var30_0","num_var22_hace2","num_meses_var5_ult3","num_var45_hace2","saldo_var8","var38_ratio","ind_comb_rank","saldo_var30","abs_f_ratio_num_var30_saldo_var30","num_var30","f_diff_saldo_medio_var5_8_ult11","num_var5","abs_f_diff_saldo_medio_var5_ult13","0.824004","0.813576","0.812554","0.820197","0.823825","0.821442","0.815124","0.80042","0.811697","0.838402"
"num_var22_ult3","saldo_var30","saldo_var5","num_var22_hace3","abs_f_diff_saldo_medio_var5_hace2_saldo_medio_var5_ult1","f_diff_var_15_var_36_less_60","max.saldo","f_diff_var_15_var_36_cutpoint_smaller","abs_f_ratio_num_var30_saldo_var30","ind_var30","saldo_medio_var5_hace2","f_diff_var_15_var_38","abs_f_ratio_num_var5_saldo_var5","f_diff_saldo_medio_var5_hace2_saldo_medio_var5_ult1","new_ftr_ult1_ult3_ratio_num_var45","f_diff_var_15_var_36_rank","abs_f_diff_saldo_var5_saldo_medio_var5_hace3","saldo_var8","num_var22_hace2","0.826523","0.820302","0.836162","0.825233","0.826662","0.825766","0.831896","0.802109","0.830219","0.841606"
"new_ind_group5_sum","new_num_var5_0","new_num_group5_sum","sald0_quantile_diff_3","f_diff_num_var22_ult3_num_med_var45_ult3","num_meses_var5_ult3","num_var22_hace3","var15_ratio","var38_ratio","f_diff_var_15_var_36_cutpoint_smaller","new_num_sum","f_diff_num_var45_ult13","saldo_var5","abs_f_diff_saldo_medio_var5_8_ult11","f_diff_saldo_var5_saldo_medio_var5_hace3","abs_f_diff_num_var30_4","new_ind_sum","f_diff_saldo_medio_var5_8_ult11","abs_f_ratio_num_var30_saldo_var30","0.84029","0.838081","0.835248","0.816877","0.834861","0.827874","0.83452","0.806557","0.831027","0.838478"
"abs_f_diff_saldo_var5_saldo_medio_var5_hace2","new_num_var8_0","new_num_sum","var15_ratio","f_num_non_zero_sum_ind","ind_comb_rank","saldo_medio_var5_ult1","abs_f_diff_saldo_var5_30","abs_f_ratio_num_var5_saldo_var5","new_num_var5_0","f_ratio_num_var42_saldo_var42","f_diff_saldo_medio_var5_8_ult11","nonzerocount.num","f_diff_var_15_var_38","num_meses_var39_vig_ult3","abs_f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","f_diff_saldo_medio_var5_hace2_saldo_medio_var5_ult1","f_diff_var_15_var_36_cutpoint_smaller","nonzerocount.saldo","0.839876","0.838783","0.804691","0.823328","0.834833","0.826055","0.836451","0.802885","0.830351","0.845527"
"abs_f_ratio_num_var30_saldo_var30","num_of_used","new_num_prcnt","var15_ratio","imp_trans_var37_ult1","f_diff_var_15_larger","saldo_medio_var5_hace3","num_var30","new_num_var5_0","num_var35","f_diff_var_15_var_36_less_60","max.saldo","ind_comb_rank","num_var22_ult3","var38_ratio","abs_f_diff_saldo_var5_42","saldo_medio_var8_ult1","imp_ent_var16_ult1","f_diff_var_15_var_36_cutpoint_smaller","0.843962","0.83907","0.827192","0.817342","0.822338","0.828136","0.834333","0.808594","0.829528","0.846495"
"new_ftr_ult1_ult3_ratio_saldo_medio_var5","new_ind_var30_0","nonzerocount.saldo","abs_f_ratio_num_var30_saldo_var30","var15_ratio","num_meses_var5_ult3","sald0_quantile_diff_3","new_ftr_ult1_ult3_ratio_num_var45","f_diff_saldo_var5_saldo_medio_var5_hace3","f_diff_num_var30_4","f_diff_imp_op_var41_comer_ult13","num_quantile_diff_3","f_diff_saldo_medio_var5_ult13","sald0_quantile_diff_1","f_diff_saldo_medio_var5_hace3_saldo_medio_var5_ult3","n0","imp_ent_var16_ult1","saldo_var42","num_var4","0.829858","0.827623","0.822553","0.808888","0.824075","0.821939","0.813262","0.807602","0.817859","0.827262"
"new_num_var30_0","abs_f_diff_num_var22_ult3_num_med_var45_ult3","abs_f_diff_saldo_medio_var5_ult13","num_of_used","var15","num_var4","abs_f_ratio_num_var30_saldo_var30","ind_var30","n0","saldo_var42","f_diff_imp_op_var41_efect_comer_ult1","f_num_3_sum_num","abs_f_diff_saldo_medio_var5_hace2_saldo_medio_var5_ult1","sald0_quantile_diff_2","num_var22_ult1","nonzerocount.saldo","abs_f_diff_saldo_var5_saldo_medio_var5_hace3","num_var5","f_diff_var_15_var_38","0.841413","0.842107","0.836522","0.818714","0.83689","0.829673","0.836841","0.827214","0.832025","0.84764"
