Depth,Min_child_weight,r_sample,c_sample,eta,scale_pos_weight,gamma,auc_max,std,best_round
4,1,0.7,0.7,0.01,1,0,0.8407332,0.0130374,924.8
4,1,0.7,0.7,0.01,1,0.1,0.8413466,0.0061182,1050.33333333333
4,1,0.7,0.7,0.01,1,0.2,0.8406748,0.008102,1122.2
4,1,0.7,0.7,0.01,1,0.3,0.8405178,0.0105418,1014.8
4,1,0.7,0.7,0.01,1,0.4,0.841993,0.012525,1064.125
4,1,0.7,0.7,0.01,1,0.5,0.8422036,0.009387,1024.5
4,1,0.7,0.7,0.01,1,0.6,0.8415304,0.01033,1084
4,1,0.7,0.7,0.01,1,0.7,0.8411462,0.006605,959.4
4,1,0.7,0.7,0.01,1,0.8,0.8405994,0.007602,928.714285714286
4,1,0.7,0.7,0.01,1,0.9,0.8409126,0.0048034,1035.14285714286
4,1,0.7,0.7,0.01,1,1,0.841249,0.0103006,1097
4,1,0.7,0.7,0.01,1,2,0.8412546,0.0038082,1002.2
4,1,0.7,0.7,0.01,1,5,0.841579,0.0086546,1110.6
