Depth,Min_child_weight,r_sample,c_sample,eta,scale_pos_weight,gamma,auc_max,std,best_round
4,1,0.55,0.55,0.01,2,0.5,0.8412766,0.0089306,895.333333333333
4,1,0.55,0.55,0.012,2,0.5,0.8412684,0.0069278,661.5
4,1,0.55,0.55,0.014,2,0.5,0.8420832,0.013376,678.6
4,1,0.55,0.55,0.016,2,0.5,0.8409224,0.012261,589
4,1,0.55,0.55,0.018,2,0.5,0.8410226,0.0081702,516.8
4,1,0.55,0.55,0.02,2,0.5,0.8412064,0.0019154,480
4,1,0.55,0.55,0.022,2,0.5,0.8410824,0.008494,353
4,1,0.55,0.55,0.024,2,0.5,0.8413894,0.005352,461
