r_sample,c_sample,auc_max,std,best_round
0.5,0.4,0.839938666666667,0.00685666666666667,95
0.5,0.45,0.839583,0.0158153333333333,111.333333333333
0.5,0.5,0.840492333333333,0.010214,91
0.5,0.55,0.83943,0.00960766666666667,78.25
0.5,0.6,0.839237666666667,0.00855,89.75
0.5,0.65,0.839533333333333,0.0150176666666667,90.3333333333333
0.5,0.7,0.838806,0.0108363333333333,103
0.5,0.75,0.839692,0.010564,98
0.5,0.8,0.839425333333333,0.00880933333333333,78
0.55,0.4,0.840502,0.00801033333333333,81.3333333333333
0.55,0.45,0.840251666666667,0.00766333333333333,96
0.55,0.5,0.840777333333333,0.009516,111.333333333333
0.55,0.55,0.839021666666667,0.0110743333333333,115.666666666667
0.55,0.6,0.84062,0.010824,125.333333333333
0.55,0.65,0.840222,0.01361,105.333333333333
0.55,0.7,0.83987,0.00981333333333333,97
0.55,0.75,0.839708,0.010566,97
0.55,0.8,0.839227666666667,0.010297,86
0.6,0.4,0.840945666666667,0.0102706666666667,105
0.6,0.45,0.839963666666667,0.013427,100
0.6,0.5,0.840068,0.0110443333333333,83
0.6,0.55,0.840076666666667,0.0100676666666667,108
0.6,0.6,0.839806666666667,0.0112293333333333,74
0.6,0.65,0.83887,0.00592533333333333,64
0.6,0.7,0.840042333333333,0.0120436666666667,76
0.6,0.75,0.839925666666667,0.0132453333333333,104.333333333333
0.6,0.8,0.839658666666667,0.009125,72.3333333333333
0.65,0.4,0.839268,0.00916633333333333,72.3333333333333
0.65,0.45,0.838983333333333,0.0117313333333333,110.333333333333
0.65,0.5,0.841054666666667,0.00713266666666667,100.333333333333
0.65,0.55,0.840775666666667,0.00848533333333333,110.333333333333
0.65,0.6,0.839545,0.00820666666666667,74
0.65,0.65,0.840896666666667,0.00992933333333333,123
0.65,0.7,0.839035333333333,0.013577,80.75
0.65,0.75,0.840684333333333,0.00983,73
0.65,0.8,0.839991666666667,0.012361,108
0.7,0.4,0.841238,0.00651433333333333,148.666666666667
0.7,0.45,0.840692,0.00957633333333333,90
0.7,0.5,0.840081,0.0127283333333333,116.666666666667
0.7,0.55,0.840492,0.00516666666666667,113
0.7,0.6,0.840922666666667,0.0137846666666667,119
0.7,0.65,0.839766666666667,0.00997066666666667,78
0.7,0.7,0.840761,0.007754,86.3333333333333
0.7,0.75,0.840627,0.0101643333333333,86.3333333333333
0.7,0.8,0.840615666666667,0.0108066666666667,94.6666666666667
0.75,0.4,0.839426,0.010977,106
0.75,0.45,0.841286333333333,0.00685433333333333,119.666666666667
0.75,0.5,0.841601666666667,0.0133303333333333,123
0.75,0.55,0.839914333333333,0.0116076666666667,98.3333333333333
0.75,0.6,0.839522333333333,0.0121216666666667,92
0.75,0.65,0.840470333333333,0.0128553333333333,92
0.75,0.7,0.839957,0.009966,107
0.75,0.75,0.840130333333333,0.00883766666666667,90.3333333333333
0.75,0.8,0.839933,0.0118803333333333,93.6666666666667
0.8,0.4,0.840555,0.012171,117.333333333333
0.8,0.45,0.840710333333333,0.009493,80.3333333333333
0.8,0.5,0.840077333333333,0.013629,84.3333333333333
0.8,0.55,0.839723333333333,0.00913166666666667,93.3333333333333
0.8,0.6,0.84163,0.00960166666666667,91.3333333333333
0.8,0.65,0.839942666666667,0.00821733333333333,136
0.8,0.7,0.840441,0.00988066666666667,100.666666666667
0.8,0.75,0.839772,0.0104043333333333,106.666666666667
0.8,0.8,0.839823666666667,0.008637,106
