gamma,auc_max,std,best_round
0,0.839896,0.00876533333333333,93.6666666666667
0.1,0.840212333333333,0.0112666666666667,86
0.2,0.840469666666667,0.00759533333333333,141
0.3,0.839936,0.00999066666666667,100.333333333333
0.4,0.840668333333333,0.01156,97.3333333333333
0.5,0.839650333333333,0.012555,115
0.6,0.841262666666667,0.006283,110
0.7,0.840178,0.0160966666666667,101
0.8,0.840095666666667,0.0128616666666667,89.3333333333333
0.9,0.840726666666667,0.0133506666666667,109.25
1,0.839927666666667,0.00820066666666667,96
