Depth,Min_child_weight,r_sample,c_sample,eta,scale_pos_weight,gamma,auc_max,std,best_round
4,1,0.6,0.4,0.016,4,0,0.8402106,0.007749,546.8
4,1,0.6,0.4,0.016,4,0.1,0.8407242,0.0055482,612
4,1,0.6,0.4,0.016,4,0.2,0.839611,0.0082818,437
4,1,0.6,0.4,0.016,4,0.3,0.8412758,0.0119186,614.333333333333
4,1,0.6,0.4,0.016,4,0.4,0.8411582,0.0089626,533.4
4,1,0.6,0.4,0.016,4,0.5,0.8415152,0.0056064,425.8
4,1,0.6,0.4,0.016,4,0.6,0.8413226,0.0068324,486.8
4,1,0.6,0.4,0.016,4,0.7,0.8402008,0.0098458,466.166666666667
4,1,0.6,0.4,0.016,4,0.8,0.8402298,0.0045586,476
4,1,0.6,0.4,0.016,4,0.9,0.8412738,0.0105866,553.6
4,1,0.6,0.4,0.016,4,1,0.8395888,0.0127478,478
4,1,0.6,0.4,0.016,4,2,0.842164,0.0038192,578
4,1,0.6,0.4,0.016,4,5,0.840919,0.0024738,551.2
