Depth,Min_child_weight,r_sample,c_sample,eta,scale_pos_weight,gamma,auc_max,std,best_round
4,1,0.5,0.3,0.016,4,2,0.840652,0.0057972,609.2
4,1,0.5,0.35,0.016,4,2,0.8409428,0.0038916,505.8
4,1,0.5,0.4,0.016,4,2,0.8398166,0.0080222,475.2
4,1,0.5,0.45,0.016,4,2,0.8404114,0.0083658,466.6
4,1,0.5,0.5,0.016,4,2,0.8402736,0.006591,565.8
4,1,0.5,0.55,0.016,4,2,0.8401996,0.0096502,476
4,1,0.5,0.6,0.016,4,2,0.8415178,0.0095016,569.833333333333
4,1,0.55,0.3,0.016,4,2,0.8412212,0.0055126,508.6
4,1,0.55,0.35,0.016,4,2,0.841872,0.0070864,529.875
4,1,0.55,0.4,0.016,4,2,0.8403724,0.0076764,610.6
4,1,0.55,0.45,0.016,4,2,0.8408936,0.0173506,550.4
4,1,0.55,0.5,0.016,4,2,0.8407456,0.0066806,477.6
4,1,0.55,0.55,0.016,4,2,0.8410652,0.0043626,491.6
4,1,0.55,0.6,0.016,4,2,0.841038,0.0024396,456
4,1,0.6,0.3,0.016,4,2,0.8404598,0.0102604,624.857142857143
4,1,0.6,0.35,0.016,4,2,0.8406688,0.0066978,474.2
4,1,0.6,0.4,0.016,4,2,0.8404124,0.0097692,497.4
4,1,0.6,0.45,0.016,4,2,0.8416358,0.0054992,532.6
4,1,0.6,0.5,0.016,4,2,0.840937,0.0038756,505.333333333333
4,1,0.6,0.55,0.016,4,2,0.841217,0.0113668,515.4
4,1,0.6,0.6,0.016,4,2,0.8405004,0.0080842,460.2
4,1,0.65,0.3,0.016,4,2,0.8396572,0.0069904,525.6
4,1,0.65,0.35,0.016,4,2,0.8406326,0.0065406,502
4,1,0.65,0.4,0.016,4,2,0.8402554,0.0072872,394.8
4,1,0.65,0.45,0.016,4,2,0.839928,0.0074996,497.6
4,1,0.65,0.5,0.016,4,2,0.8406026,0.0085286,627
4,1,0.65,0.55,0.016,4,2,0.8404198,0.0035886,460.4
4,1,0.65,0.6,0.016,4,2,0.840631,0.0105162,547.6
4,1,0.7,0.3,0.016,4,2,0.839259,0.0083372,613.8
4,1,0.7,0.35,0.016,4,2,0.8411188,0.0029306,523.333333333333
4,1,0.7,0.4,0.016,4,2,0.8415008,0.004121,528.4
4,1,0.7,0.45,0.016,4,2,0.8410572,0.009371,527.666666666667
4,1,0.7,0.5,0.016,4,2,0.8406464,0.0084668,502.4
4,1,0.7,0.55,0.016,4,2,0.841523,0.0088726,579
4,1,0.7,0.6,0.016,4,2,0.838784,0.0039888,491.714285714286
