Depth,Min_child_weight,r_sample,c_sample,eta,scale_pos_weight,gamma,auc_max,std,best_round
5,10,0.65,0.45,0.02,1,0,0.8417906,0.0103136,417
5,10,0.65,0.45,0.02,1,0.1,0.8419538,0.0068692,433.5
5,10,0.65,0.45,0.02,1,0.2,0.8413926,0.0107806,450.666666666667
5,10,0.65,0.45,0.02,1,0.3,0.8417814,0.0071072,402
5,10,0.65,0.45,0.02,1,0.4,0.8414622,0.0059212,399.6
5,10,0.65,0.45,0.02,1,0.5,0.842083,0.01104,472.6
5,10,0.65,0.45,0.02,1,0.6,0.8417834,0.0124954,382.4
5,10,0.65,0.45,0.02,1,0.7,0.8409122,0.0087052,429
5,10,0.65,0.45,0.02,1,0.8,0.8414292,0.0079202,409
5,10,0.65,0.45,0.02,1,0.9,0.8424226,0.006712,441.4
5,10,0.65,0.45,0.02,1,1,0.8419872,0.0135886,387.6
5,10,0.65,0.45,0.02,1,2,0.8421322,0.0069572,446.6
5,10,0.65,0.45,0.02,1,5,0.8403612,0.009695,434
