Depth,Min_child_weight,r_sample,c_sample,eta,scale_pos_weight,gamma,auc_max,std,best_round
5,10,0.7,0.43,0.01,3,0.9,0.8423324,0.0083882,766.4
5,10,0.7,0.43,0.012,3,0.9,0.8418982,0.0034842,610.142857142857
5,10,0.7,0.43,0.014,3,0.9,0.84129,0.0127806,521.5
5,10,0.7,0.43,0.016,3,0.9,0.8416834,0.0064212,400
5,10,0.7,0.43,0.018,3,0.9,0.8415436,0.0117394,348.4
5,10,0.7,0.43,0.02,3,0.9,0.84198,0.008364,430
5,10,0.7,0.43,0.022,3,0.9,0.840971,0.01007,305.4
5,10,0.7,0.43,0.024,3,0.9,0.8421278,0.011776,287
5,10,0.7,0.43,0.026,3,0.9,0.8416182,0.0123966,348
5,10,0.7,0.43,0.028,3,0.9,0.841141,0.0047194,273.4
5,10,0.7,0.43,0.03,3,0.9,0.8418862,0.0140926,252
