gamma,auc_max,std,best_round
0,0.842029666666667,0.009938,503.666666666667
0.1,0.841759333333333,0.00732933333333333,533.333333333333
0.2,0.840962666666667,0.0149273333333333,589.25
0.3,0.840524333333333,0.00844733333333333,489.8
0.4,0.841717,0.0128883333333333,573
0.5,0.841822666666667,0.013932,647.666666666667
0.6,0.841391666666667,0.0122056666666667,554
0.7,0.841894666666667,0.0101356666666667,583
0.8,0.841629,0.011146,582.666666666667
0.9,0.841059333333333,0.0106603333333333,607
1,0.842415666666667,0.00769633333333333,628.666666666667
