Depth,Min_child_weight,auc_max,std,best_round
4,1,0.841631,0.009914,493
4,2,0.841527,0.006977,575
4,3,0.840868,0.010281,450
5,1,0.841735,0.015162,374
5,2,0.841296,0.010465,336
5,3,0.84142,0.011897,432
6,1,0.842167,0.009661,353
6,2,0.841808,0.01172,333
6,3,0.841405,0.010698,308
