Depth,Min_child_weight,auc_max,std,best_round
3,0.5,0.839920333333333,0.012837,172.333333333333
3,1,0.840631333333333,0.00806133333333333,185.333333333333
3,2,0.839983333333333,0.0102253333333333,187
3,3,0.840442,0.0127373333333333,158.333333333333
3,4,0.841085666666667,0.0152676666666667,168.666666666667
4,0.5,0.840596666666667,0.0100113333333333,129
4,1,0.840867,0.0110566666666667,117
4,2,0.840705333333333,0.009382,116
4,3,0.840645,0.008036,113
4,4,0.840066666666667,0.0121686666666667,92
5,0.5,0.840259333333333,0.011822,79
5,1,0.840464333333333,0.0124343333333333,98
5,2,0.840584,0.0111283333333333,65.3333333333333
5,3,0.840762,0.0106146666666667,81
5,4,0.840580666666667,0.0113963333333333,85.3333333333333
6,0.5,0.840248666666667,0.0104293333333333,76.6666666666667
6,1,0.839405666666667,0.0104293333333333,84
6,2,0.840223333333333,0.006909,89
6,3,0.839901333333333,0.0135146666666667,58
6,4,0.841779,0.0174896666666667,73
