Rounds,Depth,r_sample,c_sample,eta,scale_pos_weight,auc_max,best_round
300,6,0.65,0.75,0.005,1,0.833132,300
300,6,0.65,0.75,0.005,10,0.840085,299
300,6,0.65,0.75,0.005,24.2726063829787,0.839144,296
300,6,0.65,0.8,0.05,0.8,0.841218,113
300,6,0.65,0.8,0.05,1,0.84126,113
300,6,0.65,0.8,0.05,10,0.840457,71
300,6,0.65,0.8,0.05,24.2726063829787,0.838472,44
300,6,0.65,0.8,0.01,0.8,0.837631,300
300,6,0.65,0.8,0.01,1,0.838501,299
300,6,0.65,0.8,0.01,10,0.840725,295
300,6,0.65,0.8,0.01,24.2726063829787,0.839283,252
300,6,0.65,0.8,0.005,0.8,0.832111,300
300,6,0.65,0.8,0.005,1,0.833462,300
300,6,0.65,0.8,0.005,10,0.840114,300
300,6,0.65,0.8,0.005,24.2726063829787,0.838942,300
300,6,0.65,0.85,0.05,0.8,0.840993,126
300,6,0.65,0.85,0.05,1,0.840796,137
300,6,0.65,0.85,0.05,10,0.83992,67
300,6,0.65,0.85,0.05,24.2726063829787,0.837624,35
300,6,0.65,0.85,0.01,0.8,0.837664,300
300,6,0.65,0.85,0.01,1,0.838624,300
300,6,0.65,0.85,0.01,10,0.840386,295
300,6,0.65,0.85,0.01,24.2726063829787,0.839261,300
300,6,0.65,0.85,0.005,0.8,0.832518,300
300,6,0.65,0.85,0.005,1,0.833935,299
300,6,0.65,0.85,0.005,10,0.840111,300
300,6,0.65,0.85,0.005,24.2726063829787,0.838861,300
300,6,0.75,0.75,0.05,0.8,0.841171,136
300,6,0.75,0.75,0.05,1,0.840957,134
300,6,0.75,0.75,0.05,10,0.840059,71
300,6,0.75,0.75,0.05,24.2726063829787,0.838246,64
300,6,0.75,0.75,0.01,0.8,0.83764,300
300,6,0.75,0.75,0.01,1,0.838661,300
300,6,0.75,0.75,0.01,10,0.84107,274
300,6,0.75,0.75,0.01,24.2726063829787,0.839736,261
300,6,0.75,0.75,0.005,0.8,0.83174,300
300,6,0.75,0.75,0.005,1,0.83329,300
300,6,0.75,0.75,0.005,10,0.840267,300
300,6,0.75,0.75,0.005,24.2726063829787,0.839318,296
300,6,0.75,0.8,0.05,0.8,0.841665,141
300,6,0.75,0.8,0.05,1,0.841442,145
300,6,0.75,0.8,0.05,10,0.839834,71
300,6,0.75,0.8,0.05,24.2726063829787,0.838032,69
