Rounds,Depth,r_sample,c_sample,eta,scale_pos_weight,gamma,auc_max,sd,best_round
2000,5,0.66,0.66,0.01,1,0,0.842112,0.007256,774
2000,5,0.66,0.68,0.01,1,0,0.842071,0.007202,774
2000,5,0.66,0.7,0.01,1,0,0.842017,0.007277,770
2000,5,0.68,0.66,0.01,1,0,0.842194,0.006999,769
2000,5,0.68,0.68,0.01,1,0,0.842196,0.006927,769
2000,5,0.68,0.7,0.01,1,0,0.842196,0.006934,770
2000,5,0.7,0.66,0.01,1,0,0.842145,0.006959,928
2000,5,0.7,0.68,0.01,1,0,0.842087,0.007156,864
2000,5,0.7,0.7,0.01,1,0,0.84199,0.006977,865
