Rounds,Depth,r_sample,c_sample,eta,scale_pos_weight,gamma,auc_max,sd,best_round
2000,5,0.68,0.68,0.01,1,0,0.842196,0.006927,769
2000,5,0.68,0.7,0.01,1,0,0.842196,0.006934,770
2000,5,0.68,0.72,0.01,1,0,0.841969,0.007152,780
2000,5,0.7,0.68,0.01,1,0,0.842087,0.007156,864
2000,5,0.7,0.7,0.01,1,0,0.84199,0.006977,865
2000,5,0.7,0.72,0.01,1,0,0.842002,0.007249,865
2000,5,0.72,0.68,0.01,1,0,0.84184,0.007316,791
2000,5,0.72,0.7,0.01,1,0,0.841741,0.007326,807
2000,5,0.72,0.72,0.01,1,0,0.841797,0.007382,804
