Depth,Min_child_weight,r_sample,c_sample,eta,scale_pos_weight,gamma,auc_max,std,best_round
6,1,0.65,0.45,0.01,2,0.9,0.8413188,0.011964,567.6
6,1,0.65,0.45,0.012,2,0.9,0.8408074,0.0091604,518.6
6,1,0.65,0.45,0.014,2,0.9,0.8408574,0.0085678,368.2
6,1,0.65,0.45,0.016,2,0.9,0.8412516,0.008731,373
6,1,0.65,0.45,0.018,2,0.9,0.8406998,0.0082832,331.6
6,1,0.65,0.45,0.02,2,0.9,0.8418262,0.0108238,250.2
6,1,0.65,0.45,0.022,2,0.9,0.8405172,0.0132556,203.4
6,1,0.65,0.45,0.024,2,0.9,0.8416708,0.0088378,240.4
6,1,0.65,0.45,0.026,2,0.9,0.8406974,0.0103904,207.2
6,1,0.65,0.45,0.028,2,0.9,0.8408632,0.0055362,168.2
6,1,0.65,0.45,0.03,2,0.9,0.8413344,0.007242,167.6
